,STATE,geometry
315,AZ,POINT (-111.012946702 32.407833178)
316,AZ,POINT (-110.875253755 32.2649102230001)
317,AZ,POINT (-110.893144458 32.257506758)
318,AZ,POINT (-110.935157958 32.3235093770001)
319,AZ,POINT (-110.96178674 32.416671513)
320,AZ,POINT (-110.885740738 32.2383947450001)
321,AZ,POINT (-110.972136474 32.131374629)
322,AZ,POINT (-110.961573636 32.276053432)
323,AZ,POINT (-110.960704858 32.2433967370001)
324,AZ,POINT (-110.965072382 32.349910245)
325,AZ,POINT (-110.889144328 32.292796755)
326,AZ,POINT (-110.996557906 32.3516976110001)
327,AZ,POINT (-110.992797312 32.352542375)
328,AZ,POINT (-110.920711416 32.2634344910001)
329,AZ,POINT (-110.962218119 32.3774855560001)
330,AZ,POINT (-110.826741555 32.236774956)
331,AZ,POINT (-110.825069609 32.2140263970001)
332,AZ,POINT (-111.05585969 32.164221959)
333,AZ,POINT (-110.803962227 32.2035067240001)
334,AZ,POINT (-110.856883258 32.229013594)
335,AZ,POINT (-110.982386935 32.3455880240001)
336,AZ,POINT (-110.936224833 32.233802623)
337,AZ,POINT (-110.912126125 32.23308365)
338,AZ,POINT (-111.019987824 32.152779115)
339,AZ,POINT (-111.021165252 32.3230453260001)
340,AZ,POINT (-111.046299514 32.344293513)
341,AZ,POINT (-110.961705618 32.3270527770001)
342,AZ,POINT (-111.035273165 32.316912872)
343,AZ,POINT (-110.950363677 32.2557798880001)
344,AZ,POINT (-110.891571015 32.2443110250001)
345,AZ,POINT (-110.964844753 32.2364981540001)
346,AZ,POINT (-110.95768626 32.2345683140001)
347,AZ,POINT (-110.909162817 32.227657734)
348,AZ,POINT (-110.969204629 32.206229432)
349,AZ,POINT (-110.842278885 32.19963642)
350,AZ,POINT (-111.008847086 32.1070151930001)
351,AZ,POINT (-111.749787025 32.874840578)
352,AZ,POINT (-110.919417794 31.3570357070001)
353,AZ,POINT (-112.066701423 34.4351544840001)
354,AZ,POINT (-112.497508606 34.5252716890001)
355,AZ,POINT (-111.892468309 34.7526762160001)
356,AZ,POINT (-112.467636197 34.5403196880001)
357,AZ,POINT (-111.868933749 34.565054687)
358,AZ,POINT (-111.797673715 34.625684688)
359,AZ,POINT (-112.453701531 34.776132352)
360,AZ,POINT (-112.473982285 34.5438559460001)
361,AZ,POINT (-111.806839152 34.803044937)
362,AZ,POINT (-114.644860755 32.6765943710001)
363,AZ,POINT (-114.527180231 32.6687862090001)
364,AZ,POINT (-114.59394189 32.6812841120001)
365,AZ,POINT (-114.627301328 32.6946079430001)
366,AR,POINT (-91.540232539 34.4805530840001)
367,AR,POINT (-91.557441193 34.4815174240001)
368,AR,POINT (-92.361671723 36.323608929)
369,AR,POINT (-94.501428838 36.23758976)
370,AR,POINT (-94.4995338969999 36.239876806)
371,AR,POINT (-94.136302089 36.3307872500001)
372,AR,POINT (-94.148771677 36.261166249)
373,AR,POINT (-94.1242476049999 36.3403733170001)
374,AR,POINT (-94.447459834 36.4215406600001)
375,AR,POINT (-94.1667272779999 36.38231791)
376,AR,POINT (-93.094762177 36.240236377)
377,AR,POINT (-93.736047546 36.384186314)
378,AR,POINT (-93.747253525 36.4134052580001)
379,AR,POINT (-92.0351272029999 35.480522734)
380,AR,POINT (-93.20341018 33.2823838690001)
381,AR,POINT (-92.791797332 35.116979789)
382,AR,POINT (-90.703165105 35.828946477)
383,AR,POINT (-90.699103382 35.82288534)
384,AR,POINT (-90.744507115 35.8151704320001)
385,AR,POINT (-90.703015846 35.8367140450001)
386,AR,POINT (-92.434878985 35.0906497080001)
387,AR,POINT (-92.43778637 35.0859661690001)
388,AR,POINT (-93.051908315 34.51041473)
389,AR,POINT (-93.114422471 34.483923895)
390,AR,POINT (-93.064015829 34.4977912700001)
391,AR,POINT (-92.986411195 34.505314012)
392,AR,POINT (-93.061201578 34.501894006)
393,AR,POINT (-90.487662327 36.0584118250001)
394,AR,POINT (-90.5580269229999 36.057399092)
395,AR,POINT (-93.387713054 34.3636321110001)
396,AR,POINT (-92.026292079 34.1638759800001)
397,AR,POINT (-90.912256267 34.5701140360001)
398,AR,POINT (-90.768023243 34.723826977)
399,AR,POINT (-93.732886043 35.290607101)
400,AR,POINT (-93.634222665 35.298698346)
401,AR,POINT (-94.0088782239999 33.4788946050001)
402,AR,POINT (-92.853536273 33.596171779)
403,AR,POINT (-90.639375846 34.5612662020001)
404,AR,POINT (-93.5469187259999 34.331817104)
405,AR,POINT (-93.137006172 35.2777087100001)
406,AR,POINT (-93.151274039 35.2838365860001)
407,AR,POINT (-92.344188618 34.756806372)
408,AR,POINT (-92.280262775 34.769012375)
409,AR,POINT (-92.3483521799999 34.668427407)
410,AR,POINT (-92.480530389 34.813310921)
411,AR,POINT (-92.333370611 34.722223909)
412,AR,POINT (-92.401176785 34.779370268)
413,AR,POINT (-92.277554263 34.584712)
414,AR,POINT (-92.440847737 34.7999740590001)
415,AR,POINT (-92.402101019 34.7871090090001)
416,AR,POINT (-92.400399415 34.7898462360001)
417,AR,POINT (-92.3428656839999 34.876337683)
418,AR,POINT (-92.256569943 34.822374779)
419,AR,POINT (-92.2665364539999 34.8016373660001)
420,AR,POINT (-92.251103552 34.779310912)
421,AR,POINT (-92.344867457 34.647381737)
422,AR,POINT (-92.332959816 34.7598147)
423,AR,POINT (-92.3295025149999 34.760902388)
