,STATE,NAME,geometry
29811,FL,cvs,POINT (-82.4130882 29.6611553)
29812,FL,cvs,POINT (-82.3876369 29.7028215)
29815,FL,cvs,POINT (-82.3733962 29.6271314)
29816,FL,cvs,POINT (-82.323899 29.6605916)
29817,FL,cvs,POINT (-82.4939531 27.2260378)
29818,FL,"walmart, wal-mart",POINT (-82.0133875 26.8932877)
29819,FL,walgreens,POINT (-82.5756013 28.8031338)
29820,FL,cvs,POINT (-82.4817426 27.2991809)
29825,FL,cvs,POINT (-81.8104127 27.5447575)
29826,FL,walgreens,POINT (-82.1748909 29.0062759)
29828,FL,cvs,POINT (-85.6752334 30.1892296)
29829,FL,walgreens,POINT (-82.5518883 28.7244601)
29830,FL,"walmart, wal-mart",POINT (-81.7626688 26.1251458)
29831,FL,"walmart, wal-mart",POINT (-82.3366331 29.6768732)
29833,FL,walgreens,POINT (-82.3309818 28.8350891)
29834,FL,walgreens,POINT (-82.4880559 28.4768247)
29835,FL,walgreens,POINT (-81.75137 28.5909217)
29836,FL,walgreens,POINT (-81.7052382 26.1820831)
29838,FL,walgreens,POINT (-82.4473799 28.9005962)
29840,FL,walgreens,POINT (-81.8919922 28.8386488)
29841,FL,walgreens,POINT (-81.7701469 26.2432237)
29842,FL,walgreens,POINT (-82.3103207 29.6524524)
29843,FL,walgreens,POINT (-81.7558466 26.114586)
29845,FL,cvs,POINT (-81.6982862 26.0634959)
29846,FL,cvs,POINT (-81.8883484 28.8281989)
29848,FL,walgreens,POINT (-81.8070566 26.3736062)
29849,FL,walgreens,POINT (-81.827837 26.6671587)
29850,FL,walgreens,POINT (-81.8998599 26.69738)
29851,FL,walgreens,POINT (-82.4542167 29.0593437)
29853,FL,cvs,POINT (-82.5736931 27.5208421)
29854,FL,cvs,POINT (-82.5760875 27.4307801)
29855,FL,cvs,POINT (-81.7227628 28.5476127)
29857,FL,"walmart, wal-mart",POINT (-81.8985038 26.6795124)
29858,FL,"walmart, wal-mart",POINT (-81.8685917 26.525247)
29859,FL,walgreens,POINT (-81.973651 26.6068624)
29860,FL,walgreens,POINT (-81.707543 28.5473996)
29861,FL,walgreens,POINT (-82.4031366 28.5395153)
29862,FL,cvs,POINT (-81.77933 28.0055746)
29863,FL,walgreens,POINT (-82.4552358 27.2978757)
29864,FL,cvs,POINT (-82.5400225 28.4621983)
29865,FL,walgreens,POINT (-81.7757672 28.0543138)
29866,FL,walgreens,POINT (-81.9548338 28.0544882)
29873,FL,cvs,POINT (-81.7322606 28.026364)
29874,FL,cvs,POINT (-82.0259473 29.1187346)
29876,FL,cvs,POINT (-82.2634089 29.0740131)
29879,FL,walgreens,POINT (-81.9575367 28.0263787)
29883,FL,"walmart, wal-mart",POINT (-82.6775555 30.1814451)
29884,FL,"walmart, wal-mart",POINT (-81.7072009 30.0989195)
29885,FL,walgreens,POINT (-81.7070604 30.1664344)
29886,FL,walgreens,POINT (-81.7532017 30.1509327)
29894,FL,cvs,POINT (-81.8311434 26.4631236)
29895,FL,cvs,POINT (-81.7706451 26.4352324)
29896,FL,cvs,POINT (-81.9736557 26.6328901)
29903,FL,walgreens,POINT (-82.666857 28.3598729)
