STATE,NAME,geometry
CA,walgreens,POINT (-122.24428 37.809754)
CA,cvs,POINT (-121.9595907 37.9493288)
CA,walgreens,POINT (-122.4189847 37.7757487)
CA,walgreens,POINT (-122.4055156 37.7863308)
CA,walgreens,POINT (-122.3987639 37.7941211)
CA,walgreens,POINT (-121.272304 38.8057742)
CA,"walmart, wal-mart",POINT (-122.1777761 37.7145529)
CA,cvs,POINT (-121.3112158 38.7608751)
CA,"walmart, wal-mart",POINT (-122.3284766 37.9797844)
CA,walgreens,POINT (-121.891397 38.0096223)
CA,walgreens,POINT (-121.9969121 37.8138837)
CA,walgreens,POINT (-122.3583621 37.9352237)
CA,"walmart, wal-mart",POINT (-121.8681006 38.0090876)
CA,walgreens,POINT (-122.262782 37.8369261)
CA,walgreens,POINT (-121.2943193 38.0197916)
CA,walgreens,POINT (-122.0634556 37.6457444)
CA,walgreens,POINT (-122.4063923 37.7850308)
CA,walgreens,POINT (-122.4297292 37.7665389)
CA,walgreens,POINT (-122.4535456 37.7861468)
CA,walgreens,POINT (-122.4082459 37.7859973)
CA,walgreens,POINT (-122.2215129 37.7838875)
CA,walgreens,POINT (-122.422193 37.7425612)
CA,walgreens,POINT (-122.4596093 37.7248685)
CA,walgreens,POINT (-122.3945839 37.792574)
CA,walgreens,POINT (-122.4799959 37.7637)
CA,walgreens,POINT (-122.3644555 37.5868224)
CA,cvs,POINT (-121.294585 38.8774384)
CA,cvs,POINT (-121.781651 36.9194865)
CA,cvs,POINT (-122.0426693 36.9655052)
CA,cvs,POINT (-122.0682665 37.0527724)
CA,cvs,POINT (-122.0319746 37.0465133)
CA,cvs,POINT (-122.04726 37.5510494)
CA,cvs,POINT (-122.5408346 38.0047708)
CA,cvs,POINT (-122.5246837 37.9031759)
CA,walgreens,POINT (-122.1316182 37.9984326)
CA,walgreens,POINT (-121.7845628 38.6780474)
CA,walgreens,POINT (-122.0020221 36.9806445)
CA,walgreens,POINT (-122.525366 37.9721419)
CA,"walmart, wal-mart",POINT (-121.7410083 38.6754102)
CA,"walmart, wal-mart",POINT (-122.6445541 41.6985092)
CA,walgreens,POINT (-122.0263147 37.0455947)
CA,cvs,POINT (-122.7186259 38.4600033)
CA,walgreens,POINT (-122.40236 37.7921475)
CA,walgreens,POINT (-122.1799462 37.7561615)
CA,walgreens,POINT (-122.2654917 37.8227236)
CA,"walmart, wal-mart",POINT (-122.067287 37.6046735)
CA,"walmart, wal-mart",POINT (-122.1989438 37.7390969)
CA,walgreens,POINT (-122.2491453 37.7572238)
CA,walgreens,POINT (-122.5244488 37.8803628)
CA,"walmart, wal-mart",POINT (-121.2736664 38.0234882)
CA,"walmart, wal-mart",POINT (-121.257021 38.7471909)
CA,cvs,POINT (-121.2884649 38.0010712)
CA,cvs,POINT (-121.9902005 38.3599526)
CA,cvs,POINT (-122.3520624 40.5727277)
CA,cvs,POINT (-121.7845719 38.6761166)
CA,cvs,POINT (-122.4346598 37.4690389)
CA,walgreens,POINT (-122.3730073 40.6097087)
CA,cvs,POINT (-121.8744586 37.6982175)
CA,cvs,POINT (-121.6501098 36.6980408)
CA,cvs,POINT (-121.3854191 38.4103142)
