,STATE,geometry
294,IA,POINT (-91.495533 41.634283)
295,AL,POINT (-85.407102 31.257138)
296,AL,POINT (-85.344693 31.222352)
297,NC,POINT (-79.109964 34.656765)
298,CA,POINT (-117.860821 33.914313)
299,CA,POINT (-117.33141 34.030233)
300,ID,POINT (-113.849173 42.533022)
301,IA,POINT (-96.377392 42.427082)
302,IA,POINT (-96.373684 42.42608)
303,FL,POINT (-81.575349 30.433156)
304,FL,POINT (-81.537539 30.252543)
305,FL,POINT (-81.543729 30.392687)
306,WI,POINT (-90.432824 44.026096)
307,VA,POINT (-80.123459 37.274079)
308,NC,POINT (-79.787438 36.03446)
309,MI,POINT (-86.40034 42.065304)
310,OH,POINT (-84.424904 39.268983)
311,VA,POINT (-77.454784 37.493038)
312,CO,POINT (-104.677848 40.389401)
313,MI,POINT (-85.854216 42.854322)
314,MS,POINT (-90.155312 32.253258)
315,AR,POINT (-93.102902 35.275577)
316,GA,POINT (-83.758473 34.236324)
317,GA,POINT (-84.009389 32.306041)
318,WA,POINT (-122.332312 48.47363)
319,FL,POINT (-82.123257 28.036688)
320,CA,POINT (-118.21029 34.014895)
321,AR,POINT (-91.607466 35.806847)
322,AR,POINT (-91.657799 35.766807)
323,AZ,POINT (-112.069301 33.436783)
324,AZ,POINT (-111.839944 33.411771)
325,OH,POINT (-83.084181 39.963268)
326,CA,POINT (-118.21199 34.015574)
327,PA,POINT (-75.153867 39.906793)
328,KS,POINT (-99.967752 37.742009)
329,OH,POINT (-84.509166 39.327766)
330,MO,POINT (-93.274452 37.20946)
331,CA,POINT (-121.324189 37.94885)
332,WI,POINT (-89.304185 43.052478)
333,WA,POINT (-119.1932 47.13344)
334,WA,POINT (-119.312482 47.106416)
335,CA,POINT (-117.522332 34.028423)
336,GA,POINT (-84.425606 33.698744)
337,NE,POINT (-95.963472 41.218278)
338,IN,POINT (-86.063627 39.7194)
339,WA,POINT (-122.381014 47.238308)
340,LA,POINT (-90.018074 29.996218)
341,IN,POINT (-86.857238 40.37471)
342,OH,POINT (-84.408113 39.290514)
343,MO,POINT (-93.245997 39.116086)
344,GA,POINT (-84.391903 33.661379)
345,TX,POINT (-97.352313 32.826783)
346,IA,POINT (-94.13737 42.499362)
347,NJ,POINT (-74.13194 40.719812)
348,NE,POINT (-97.098183 41.450023)
349,AR,POINT (-93.997769 33.412351)
350,WA,POINT (-122.334221 47.57073)
351,TX,POINT (-96.564621 32.772521)
352,MN,POINT (-95.839221 46.818453)
353,NC,POINT (-80.963372 35.815237)
354,PA,POINT (-76.737958 40.042937)
355,PA,POINT (-76.419477 40.043494)
356,VA,POINT (-76.23829 36.865654)
357,PA,POINT (-75.598919 40.651863)
358,VA,POINT (-78.939157 38.029348)
359,TX,POINT (-96.85011 32.862288)
360,MD,POINT (-75.788205 38.714319)
