Name,Store Number,City,State,Zip Code,Latitude,Longitude,County,ID
Walmart,2013,Waterville,ME,4901,44.56806508421947,-69.64458838105203,Kennebec,17834
Walmart,1866,Farmington,ME,4938,44.63073017021505,-70.15851505100727,Franklin,17835
Walmart,2047,Palmyra,ME,4965,44.83737767854172,-69.29457273333924,Penobscot,17836
Walmart,2143,Skowhegan,ME,4976,44.780318395958574,-69.73117411136629,Somerset,17837
Walmart,2289,Bennington,VT,5201,42.89782932750843,-73.21098490807343,Bennington,17838
Walmart,2332,St. Albans,VT,5478,44.841722,-73.089697,Franklin,17839
Walmart,2224,Williston,VT,5495,44.44164743697315,-73.12216171994807,Chittenden,17840
Walmart,2682,Berlin,VT,5602,44.21593270818792,-72.56571502983776,Washington,17841
Walmart,2530,Rutland,VT,5701,43.60538253396128,-72.98065474687553,Rutland,17842
Walmart,4156,Derby,VT,5829,44.95046724233671,-72.17202334106277,Orleans,17843
Walmart,2899,Avon,CT,6001,41.810542112760864,-72.85375376789945,Hartford,17844
Walmart,2719,Bristol,CT,6010,41.69753554883245,-72.89762434126489,Hartford,17845
Walmart,1891,Manchester,CT,6042,41.80646937630003,-72.53764349967243,Hartford,17846
Walmart,2900,Rocky Hill,CT,6067,41.67908490585563,-72.65747826173084,Hartford,17847
Walmart,2282,East Windsor,CT,6088,41.9193739241294,-72.60679738596082,Hartford,17848
Walmart,5095,Hartford,CT,6106,41.739725444036864,-72.7135985903442,Hartford,17849
Walmart,2965,Newington,CT,6111,41.66312686636892,-72.71833372861353,Hartford,17850
Walmart,5777,Brooklyn,CT,6234,41.79895276295952,-71.91338729398414,Windham,17851
Walmart,2022,North Windham,CT,6256,41.74105423617244,-72.17419831082226,Windham,17852
Walmart,1980,Putnam,CT,6260,41.92335303774765,-71.8891877308471,Windham,17853
Walmart,2200,Groton,CT,6340,41.3698239656544,-72.06500574946405,New London,17854
Walmart,2854,Lisbon,CT,6351,41.583473649168695,-71.98955609379142,New London,17855
Walmart,2170,Norwich,CT,6360,41.50473154423397,-72.1225818195785,New London,17856
Walmart,2331,Waterford,CT,6385,41.36982144954362,-72.1555658429861,New London,17857
Walmart,2232,Branford,CT,6405,41.28133708855985,-72.83081092617637,New Haven,17858
Walmart,2299,Cromwell,CT,6416,41.60530548619205,-72.71221986786146,Hartford,17859
Walmart,5294,Milford,CT,6460,41.238008938442064,-73.0317052267492,New Haven,17860
Walmart,2898,Old Saybrook,CT,6475,41.296806066459816,-72.38134350255082,Middlesex,17861
Walmart,2163,Shelton,CT,6484,41.29106108532413,-73.11308545991778,Fairfield,17862
Walmart,2897,Southington,CT,6489,41.62311353300206,-72.86944264546037,Hartford,17863
Walmart,2371,Wallingford,CT,6492,41.47715960365338,-72.81104877591133,New Haven,17864
Walmart,5439,New Haven,CT,6513,41.32030950161606,-72.8770452627998,New Haven,17865
Walmart,3545,Hamden,CT,6514,41.3736180699477,-72.91900503703233,New Haven,17866
Walmart,3803,West Haven,CT,6516,41.27067950497187,-72.9773908831935,New Haven,17867
Walmart,2585,Stratford,CT,6614,41.20136446167879,-73.118741735816,Fairfield,17868
Walmart,3548,Waterbury,CT,6705,41.56339029999999,-73.00431979999999,New Haven,17869
Walmart,2284,Naugatuck,CT,6770,41.47050310301165,-73.02811438301647,New Haven,17870
Walmart,3546,New Milford,CT,6776,41.55199960714471,-73.41969430446626,Litchfield,17871
Walmart,2144,Torrington,CT,6790,41.8186121,-73.0779735,Litchfield,17872
Walmart,3543,Danbury,CT,6810,41.40808142743893,-73.41301027008173,Fairfield,17873
Walmart,2954,Norwalk,CT,6851,41.15911828713293,-73.41748403012959,Fairfield,17874
Walmart,5867,Bayonne,NJ,7002,40.65983671322786,-74.1067022457719,Hudson,17875
Walmart,5077,Boonton,NJ,7005,40.907159578929786,-74.40414011478425,Morris,17876
Walmart,5752,Garfield,NJ,7026,40.86667982973354,-74.10099200859834,Bergen,17877
Walmart,5447,Kearny,NJ,7032,40.747690927104735,-74.13755888119341,Hudson,17878
Walmart,3469,Linden,NJ,7036,40.6182489632568,-74.25474882250673,Union,17879
Walmart,3795,North Bergen,NJ,7047,40.814189,-74.013673,Bergen,17880
Walmart,5111,Watchung,NJ,7069,40.63797918051807,-74.42470394074918,Union,17881
Walmart,3292,Union,NJ,7083,40.687088879524794,-74.29990662261845,Union,17882
Walmart,3520,Secaucus,NJ,7094,40.793044573731514,-74.04255604371428,Hudson,17883
Walmart,5281,Woodbridge,NJ,7095,40.53592433901129,-74.29360007867217,Middlesex,17884
Walmart,2090,Franklin,NJ,7416,41.115956524124954,-74.57886474207044,Sussex,17885
Walmart,3443,Riverdale,NJ,7457,40.992849868867026,-74.31194052100183,Morris,17886
Walmart,3159,Teterboro,NJ,7608,40.86258656478544,-74.06257923692466,Bergen,17887
Walmart,3562,Saddle Brook,NJ,7663,40.8922758008848,-74.0938373655081,Bergen,17888
Walmart,3236,Freehold,NJ,7728,40.24369609146557,-74.29355062544347,Monmouth,17889
Walmart,2195,Howell,NJ,7731,40.131618,-74.225671,Monmouth,17890
Walmart,5142,Neptune,NJ,7753,40.224999,-74.0852701,Monmouth,17891
Walmart,3291,Flanders,NJ,7836,40.88181575868735,-74.7084702551365,Morris,17892
Walmart,2503,Hackettstown,NJ,7840,40.81618253269762,-74.84206165029296,Morris,17893
Walmart,3912,Ledgewood,NJ,7852,40.87339423,-74.65305738,Morris,17894
Walmart,2604,Newton,NJ,7860,41.069731242249006,-74.73885669626044,Sussex,17895
Walmart,5178,Rockaway,NJ,7866,40.90754093295378,-74.56228510840448,Morris,17896
Walmart,3598,Cedar Knolls,NJ,7927,40.80967503928312,-74.45726394653322,Morris,17897
Walmart,5340,Cherry Hill,NJ,8002,39.93851019672735,-75.04466168582441,Camden,17898
Walmart,1742,Turnersville,NJ,8012,39.72949979296801,-75.03583755344152,Gloucester,17899
Walmart,2040,Burlington,NJ,8016,40.04761751337136,-74.84270107001068,Burlington,17900
Walmart,2254,Hammonton,NJ,8037,39.64849298066205,-74.78486615147064,Atlantic,17901
Walmart,2841,Lumberton,NJ,8048,39.977405667149995,-74.76839700713755,Burlington,17902
Walmart,1921,Manahawkin,NJ,8050,39.700511,-74.275638,Ocean,17903
Walmart,1869,Marlton,NJ,8053,39.89613299464503,-74.91543201729657,Burlington,17904
Walmart,5944,Mount Laurel,NJ,8054,39.93120964345642,-74.96353171296528,Burlington,17905
Walmart,2041,Pennsville,NJ,8070,39.61208204576039,-75.5047636292875,Salem,17906
Walmart,2871,Cinnaminson,NJ,8077,40.0074593,-74.9808608,Burlington,17907
Walmart,4456,Somerdale,NJ,8083,39.85474726877942,-75.0241426192224,Camden,17908
Walmart,3830,Little Egg Harbor,NJ,8087,39.60338372544292,-74.36332956702132,Ocean,17909
Walmart,1807,West Berlin,NJ,8091,39.808584590574114,-74.92785215377809,Camden,17910
Walmart,3774,Williamstown,NJ,8094,39.66234231504654,-74.96144018321617,Gloucester,17911
Walmart,3422,Deptford,NJ,8096,39.84423043380954,-75.09162500162574,Camden,17912
Walmart,5476,Woodbury,NJ,8096,39.83264818916044,-75.1290833646717,Gloucester,17913
Walmart,5047,Audubon,NJ,8106,39.891989,-75.084203,Camden,17914
Walmart,3212,Egg Hbr Twp,NJ,8234,39.395812924571366,-74.55321100793456,Atlantic,17915
Walmart,3337,Rio Grande,NJ,8242,39.0210434,-74.8728253,Cape May,17916
Walmart,5384,Bridgeton,NJ,8302,39.46663849147063,-75.2086301520467,Cumberland,17917
Walmart,2108,Mays Landing,NJ,8330,39.45214535573786,-74.65333381667394,Atlantic,17918
Walmart,2109,Millville,NJ,8332,39.42518668076647,-75.03574155271225,Cumberland,17919
Walmart,3339,Vineland,NJ,8360,39.48942253837653,-75.04740608856083,Cumberland,17920
Walmart,3266,East Windsor,NJ,8520,40.254013385239375,-74.55329272896051,Mercer,17921
Walmart,5012,Hamilton,NJ,8619,40.23423301005545,-74.71504518762232,Mercer,17922
Walmart,2518,Hamilton,NJ,8691,40.19475506961905,-74.63422660292737,Mercer,17923
Walmart,1977,Brick,NJ,8724,40.07266265499894,-74.12483917549253,Ocean,17924
Walmart,5414,Lanoka Harbor,NJ,8734,39.85866618298627,-74.17927158996463,Ocean,17925
Walmart,1844,Toms River,NJ,8755,39.975564057761495,-74.23856533628538,Ocean,17926
Walmart,2582,Clinton,NJ,8809,40.6284856,-74.921319,Hunterdon,17927
Walmart,3078,East Brunswick,NJ,8816,40.458953737533285,-74.39896814525129,Middlesex,17928
Walmart,5201,Edison,NJ,8817,40.53191797857675,-74.3763059936464,Middlesex,17929
Walmart,2294,Flemington,NJ,8822,40.52733,-74.850904,Hunterdon,17930
Walmart,2651,Manville,NJ,8835,40.546535013129464,-74.58374355131225,Somerset,17931
Walmart,2633,Piscataway,NJ,8854,40.55465996112624,-74.44120895963808,Middlesex,17932
Walmart,2825,Old Bridge,NJ,8857,40.4480991681617,-74.30078253149988,Middlesex,17933
Walmart,4153,Old Bridge,NJ,8857,40.37380479999999,-74.3193375,Middlesex,17934
Walmart,2497,Phillipsburg,NJ,8865,40.67429391860166,-75.14448498545839,Warren,17935
Walmart,2003,North Brunswick,NJ,8902,40.461518,-74.465421,Middlesex,17936
Walmart,2531,Mohegan Lake,NY,10547,41.3106003,-73.8667639,Westchester,17937
Walmart,2905,Suffern,NY,10901,41.11334744051872,-74.1072077080628,Rockland,17938
Walmart,1959,Middletown,NY,10940,41.455367285152114,-74.37832156864776,Orange,17939
Walmart,2637,Monroe,NY,10950,41.31693575408836,-74.1482018139177,Orange,17940
Walmart,2583,Uniondale,NY,11553,40.69585517893247,-73.57810313052143,Nassau,17941
Walmart,2916,East Meadow,NY,11554,40.72682898922496,-73.5438832640648,Nassau,17942
Walmart,5293,Valley Stream,NY,11581,40.661039769861,-73.7266957244591,Queens,17943
Walmart,3420,Westbury,NY,11590,40.743281590103535,-73.60088204964995,Nassau,17944
Walmart,2286,Centereach,NY,11720,40.86298884112482,-73.08134855702521,Suffolk,17945
Walmart,5202,Commack,NY,11725,40.81181206458365,-73.28945143148304,Suffolk,17946
Walmart,2915,East Setauket,NY,11733,40.90304334807748,-73.07805329561235,Suffolk,17947
Walmart,5295,Farmingdale,NY,11735,40.72688946069925,-73.42039167881013,Nassau,17948
Walmart,2917,Islandia,NY,11749,40.800704689898026,-73.17875247448684,Suffolk,17949
Walmart,4184,Levittown,NY,11756,40.72647009751672,-73.51281443238463,Nassau,17950
Walmart,2906,Riverhead,NY,11901,40.92474189867009,-72.71165985614063,Suffolk,17951
Walmart,2156,Middle Island,NY,11953,40.880111528313066,-72.94717406854035,Suffolk,17952
Walmart,8331,Yaphank,NY,11980,40.84600200240849,-72.89574123158567,Suffolk,17953
Walmart,2146,Amsterdam,NY,12010,42.964508576456545,-74.18369874358177,Montgomery,17954
Walmart,2135,Cobleskill,NY,12043,42.6825208,-74.4553104,Schoharie,17955
Walmart,2844,Clifton Park,NY,12065,42.84690551322067,-73.74807536682809,Saratoga,17956
Walmart,3583,Glenmont,NY,12077,42.6084407055619,-73.79255907610059,Albany,17957
Walmart,1806,Gloversville,NY,12078,43.03123728287584,-74.34230329468846,Fulton,17958
Walmart,1997,Latham,NY,12110,42.74652885581645,-73.76449311152102,Albany,17959
Walmart,1940,East Greenbush,NY,12144,42.641714949410634,-73.7017056676799,Rensselaer,17960
Walmart,2370,Troy,NY,12180,42.74571092553853,-73.63881250843407,Rensselaer,17961
Walmart,2152,Albany,NY,12205,42.69480851242595,-73.84704614058138,Albany,17962
Walmart,2874,Glenville,NY,12302,42.84184549007577,-73.94421616941487,Schenectady,17963
Walmart,2264,Schenectady,NY,12303,42.7852933,-73.9416976,Schenectady,17964
Walmart,2504,Kingston,NY,12401,41.97245240593756,-73.98556178435685,Ulster,17965
Walmart,2351,Catskill,NY,12414,42.2126336676526,-73.88294767588378,Greene,17966
Walmart,4570,Napanoch,NY,12458,41.742521842183955,-74.37059037387371,Ulster,17967
Walmart,1810,Fishkill,NY,12524,41.5308376815896,-73.89701401814818,Dutchess,17968
Walmart,2097,Hudson,NY,12534,42.27823915387798,-73.75019123777749,Columbia,17969
Walmart,2104,Newburgh,NY,12550,41.497823997506565,-74.07466934766713,Orange,17970
Walmart,2547,Monticello,NY,12701,41.66678265700899,-74.67985853722895,Sullivan,17971
Walmart,2116,Queensbury,NY,12804,43.33513,-73.681701,Warren,17972
Walmart,4403,Queensbury,NY,12804,43.319343221772954,-73.61240431666374,Warren,17973
Walmart,2056,Saratoga Springs,NY,12866,43.10445468413032,-73.74918461074527,Saratoga,17974
Walmart,2424,Ticonderoga,NY,12883,43.85681590439293,-73.43325287103654,Essex,17975
Walmart,1994,Plattsburgh,NY,12901,44.69228872926629,-73.48663033917546,Clinton,17976
Walmart,3334,Malone,NY,12953,44.84519330349052,-74.3292870372534,Franklin,17977
Walmart,1830,Auburn,NY,13021,42.95405983135954,-76.54816556721927,Cayuga,17978
Walmart,2581,Camillus,NY,13031,43.03787966967767,-76.27218049358703,Onondaga,17979
Walmart,2911,Central Square,NY,13036,43.29110599415516,-76.12730903550984,Oswego,17980
Walmart,5242,Cicero,NY,13039,43.1611235,-76.1175252,Onondaga,17981
Walmart,1781,Cortland,NY,13045,42.569012762769944,-76.21821513399483,Cortland,17982
Walmart,2166,East Syracuse,NY,13057,43.06098784706113,-76.06010805263976,Onondaga,17983
Walmart,3332,Fulton,NY,13069,43.323548,-76.448719,Oswego,17984
Walmart,1831,Liverpool,NY,13090,43.18914278514587,-76.24254561960699,Onondaga,17985
Walmart,1926,Oswego,NY,13126,43.464388302462446,-76.4789084158838,Oswego,17986
Walmart,1705,Waterloo,NY,13165,42.9074798347674,-76.84074344113469,Seneca,17987
Walmart,2285,Herkimer,NY,13350,43.021318921940455,-74.99781539663674,Herkimer,17988
Walmart,5498,Lowville,NY,13367,43.77362489348117,-75.47806283500366,Lewis,17989
Walmart,1677,New Hartford,NY,13413,43.0953680565344,-75.31228728590806,Oneida,17990
Walmart,2444,Oneida,NY,13421,43.07821552701801,-75.69136589493208,Madison,17991
Walmart,2234,Rome,NY,13440,43.23727882703374,-75.5020794295773,Oneida,17992
Walmart,2093,Utica,NY,13502,43.123440935018834,-75.22556880488993,Oneida,17993
Walmart,1871,Watertown,NY,13601,43.976527801082305,-75.95892548561098,Jefferson,17994
Walmart,5497,Evans Mills,NY,13637,44.0406753,-75.8443171,Jefferson,17995
Walmart,1946,Massena,NY,13662,44.92222434567346,-74.87782878801227,St. Lawrence,17996
Walmart,2092,Ogdensburg,NY,13669,44.70814191951522,-75.45603811740875,St. Lawrence,17997
Walmart,3329,Potsdam,NY,13676,44.66153514766431,-75.02636248245837,St. Lawrence,17998
Walmart,5732,Johnson City,NY,13790,42.11546929136,-75.94696347042715,Broome,17999
Walmart,2120,Norwich,NY,13815,42.49698767648782,-75.52674540717302,Chenango,18000
Walmart,2262,Oneonta,NY,13820,42.44741936685983,-75.03921998664738,Otsego,18001
Walmart,1835,Vestal,NY,13850,42.095483850512565,-76.01329386234285,Broome,18002
Walmart,2088,Batavia,NY,14020,43.01362901538019,-78.20769337937237,Genesee,18003
Walmart,5027,Lancaster,NY,14043,42.882396312507446,-78.69414081797005,Erie,18004
Walmart,1949,Fredonia,NY,14063,42.45378091563779,-79.31335408240558,Chautauqua,18005
Walmart,2405,Hamburg,NY,14075,42.74306895178898,-78.87164287269117,Erie,18006
Walmart,2107,Lockport,NY,14094,43.14711972325215,-78.69276501238346,Niagara,18007
Walmart,4597,North Tonawanda,NY,14120,43.056228834678194,-78.8439633138478,Niagara,18008
Walmart,2164,Springville,NY,14141,42.5008447439177,-78.69312000884067,Erie,18009
Walmart,2355,Williamsville,NY,14221,42.98314108752347,-78.69377888739109,Erie,18010
Walmart,2586,Cheektowaga,NY,14225,42.91031547235899,-78.74345254492142,Erie,18011
Walmart,2210,Amherst,NY,14226,42.982411396890136,-78.81179625168444,Erie,18012
