,STATE,geometry
566,CA,POINT (-121.0758918 38.9013003)
567,CA,POINT (-121.6388113 39.1421095)
568,CA,POINT (-120.4635638 37.3317892)
569,CA,POINT (-117.1198292 33.1339764)
570,CA,POINT (-118.0324878 33.8605256)
571,CA,POINT (-117.6641085 33.5595306)
572,ID,POINT (-112.3626097 43.1946711)
573,CA,POINT (-120.4787806 37.3116035)
574,CA,POINT (-119.0384301 34.2216337)
575,CA,POINT (-118.3890118 33.9458702)
576,CA,POINT (-117.9398373 34.0696769)
577,CA,POINT (-117.728063 33.5703281)
578,WA,POINT (-122.3708389 45.5856435)
579,ID,POINT (-116.9288839 47.7154042)
580,CA,POINT (-120.055039 36.9631021)
581,AK,POINT (-149.9232385 61.1858521)
582,CA,POINT (-120.0587513 36.9547744)
583,CA,POINT (-119.2914678 36.5305948)
584,AZ,POINT (-114.6372245 32.6988154)
585,CA,POINT (-119.0678671 34.3466646)
586,CA,POINT (-117.3736149 33.1892872)
587,CA,POINT (-118.0814329 33.9458354)
588,CA,POINT (-117.3422283 33.9910695)
589,CA,POINT (-117.2686735 33.1037508)
590,AZ,POINT (-114.4479854 32.6687153)
591,CA,POINT (-117.1542233 32.7719483)
592,CA,POINT (-117.3250734 33.1829467)
593,CA,POINT (-117.5576222 34.0525929)
594,CA,POINT (-117.5559107 34.1085329)
595,AK,POINT (-149.8369149 61.1377952)
596,CA,POINT (-117.1015468 32.7493732)
597,OR,POINT (-122.8617329 42.3168008)
598,CA,POINT (-122.4022769 37.6394256)
599,CA,POINT (-118.3531587 33.8894586)
600,CA,POINT (-117.0910857 33.1292599)
601,CA,POINT (-120.9383342 37.6116148)
602,NV,POINT (-116.4590974 36.5691657)
603,UT,POINT (-113.5568884 37.1060649)
604,CA,POINT (-117.1621899 32.7117131)
605,CA,POINT (-121.4696692 38.5650249)
606,CA,POINT (-122.6808803 38.3475304)
607,CA,POINT (-117.0539232 32.996648)
608,NV,POINT (-116.1061609 40.7129161)
609,CA,POINT (-121.8674732 37.3079139)
610,NV,POINT (-119.3565385 40.6525214)
