State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
15,3,3503,15003003503,955,4.08,7.64,0.0,43.35,29.42,0.0,17.28,4.5,68.69,26.81,other
15,3,3504,15003003504,2953,15.95,2.17,0.0,66.58,3.32,3.08,12.76,2.78,65.87,29.22,asian_alone
15,3,3603,15003003603,3394,6.22,2.95,0.0,78.43,1.92,5.04,15.41,3.71,70.8,25.49,asian_alone
15,3,3604,15003003604,2238,10.1,0.0,0.0,76.41,3.75,0.8,8.23,0.0,69.03,30.83,asian_alone
15,3,3605,15003003605,914,3.17,0.0,0.0,68.16,8.32,6.78,13.35,1.42,81.95,16.08,asian_alone
15,3,3606,15003003606,2811,8.15,2.49,0.0,63.36,2.7,5.09,11.9,2.35,81.07,13.77,asian_alone
15,3,3701,15003003701,2177,13.41,0.0,0.0,50.16,19.34,2.11,18.67,2.71,84.11,13.18,asian_alone
15,3,3702,15003003702,2802,20.24,0.0,0.0,66.99,0.0,0.46,16.52,3.64,71.38,23.73,asian_alone
15,3,3703,15003003703,2666,14.37,1.76,0.0,62.04,2.33,7.31,17.03,0.68,63.95,32.33,asian_alone
15,3,3801,15003003801,3525,20.45,0.0,0.0,46.24,3.86,15.32,15.29,4.0,71.04,24.88,other
15,3,3802,15003003802,4569,13.53,6.92,0.0,67.06,0.55,5.8,4.99,3.41,80.56,14.49,asian_alone
15,3,3900,15003003900,268,33.96,1.87,0.0,46.27,4.85,3.36,18.28,0.0,61.57,38.43,other
15,3,4000,15003004000,1331,28.1,1.58,0.0,37.49,6.54,8.04,9.92,3.91,74.68,20.59,other
15,3,4101,15003004101,1617,20.96,2.04,1.11,31.91,18.92,1.55,13.54,5.81,75.88,18.31,other
15,3,4102,15003004102,2459,11.06,0.04,0.0,49.08,11.06,14.76,9.35,2.93,76.54,18.5,other
15,3,4201,15003004201,1483,17.19,0.81,0.0,60.01,2.76,11.53,5.46,8.7,55.43,30.68,asian_alone
15,3,4202,15003004202,1726,21.44,0.0,0.0,46.76,1.1,5.21,8.34,3.36,74.86,20.74,other
15,3,4301,15003004301,2276,11.47,3.25,0.0,42.66,15.2,6.81,15.77,3.25,72.93,20.87,other
15,3,4302,15003004302,2913,6.69,0.24,0.0,32.3,12.77,24.17,12.56,5.15,79.27,15.17,other
15,3,4401,15003004401,2405,12.27,0.46,0.0,60.5,6.03,3.45,4.53,1.79,66.65,30.31,asian_alone
15,3,4402,15003004402,2710,4.69,0.07,0.0,35.13,24.46,4.69,3.48,3.73,71.07,24.65,other
15,3,4500,15003004500,5328,18.67,1.97,0.0,49.57,3.57,6.91,7.12,0.75,72.62,25.39,other
15,3,4600,15003004600,3989,10.8,0.73,0.0,50.89,1.33,3.31,3.44,2.03,74.3,21.63,asian_alone
15,3,4701,15003004701,2203,17.25,1.09,0.0,54.24,0.36,10.03,3.59,2.54,69.63,27.69,asian_alone
15,3,4702,15003004702,2611,14.29,0.04,0.0,53.31,10.53,4.33,7.1,7.66,59.52,32.44,asian_alone
15,3,4801,15003004801,3499,7.32,0.0,0.0,52.7,9.89,4.26,5.44,3.74,77.57,17.75,asian_alone
15,3,4802,15003004802,3419,7.98,1.96,0.0,67.42,7.11,4.56,8.2,3.8,74.64,18.6,asian_alone
15,3,4900,15003004900,3826,4.84,0.08,0.0,56.74,13.72,7.4,8.74,1.25,76.63,19.71,asian_alone
15,3,5000,15003005000,4167,10.22,0.1,0.19,64.34,4.46,8.5,8.86,5.3,68.99,14.78,asian_alone
15,3,5100,15003005100,2873,14.97,1.81,0.0,70.55,2.44,3.1,25.13,2.71,72.78,24.5,asian_alone
15,3,5200,15003005200,2241,7.1,5.53,0.0,76.17,3.21,3.35,25.3,1.25,67.11,31.64,asian_alone
15,3,5300,15003005300,3949,10.81,1.09,0.0,54.57,14.97,3.65,20.08,6.03,70.7,21.09,asian_alone
15,3,5400,15003005400,1745,0.11,0.17,0.0,15.24,67.45,9.23,41.78,14.38,68.83,16.79,nhopi_alone
15,3,5500,15003005500,2057,2.09,0.0,0.0,77.88,7.78,7.73,12.7,6.37,71.41,21.34,asian_alone
15,3,5601,15003005601,1726,1.62,0.0,0.0,78.85,10.66,4.52,42.25,2.14,55.97,41.89,asian_alone
15,3,5602,15003005602,4301,1.56,0.88,0.0,78.75,4.05,4.67,12.08,5.86,76.47,17.51,asian_alone
15,3,5700,15003005700,2788,11.33,1.33,0.22,46.41,25.68,7.21,31.19,3.19,70.16,22.38,other
15,3,5800,15003005800,3244,2.1,0.0,0.0,77.34,6.78,8.38,18.74,4.72,70.9,24.38,asian_alone
15,3,5900,15003005900,3449,7.07,1.91,0.0,45.03,12.15,15.45,3.44,2.35,37.75,9.65,other
15,3,6000,15003006000,5792,0.66,0.0,0.0,79.64,9.22,0.22,9.61,3.26,77.66,19.08,asian_alone
15,3,6100,15003006100,3813,0.97,0.1,0.0,77.39,1.84,10.99,4.4,4.3,77.21,17.89,asian_alone
15,3,6202,15003006202,2209,3.8,0.36,0.0,20.42,56.86,2.99,41.06,3.26,81.58,15.17,nhopi_alone
15,3,6203,15003006203,4893,1.98,0.08,0.0,56.98,16.29,6.01,23.4,7.75,77.54,14.71,asian_alone
