STATE,geometry
VA,POINT (-76.339136 36.764508)
KS,POINT (-97.327316 37.73211)
IA,POINT (-91.495533 41.634283)
AL,POINT (-85.407102 31.257138)
AL,POINT (-85.344693 31.222352)
NC,POINT (-79.109964 34.656765)
CA,POINT (-117.860821 33.914313)
CA,POINT (-117.33141 34.030233)
ID,POINT (-113.849173 42.533022)
IA,POINT (-96.377392 42.427082)
IA,POINT (-96.373684 42.42608)
FL,POINT (-81.575349 30.433156)
FL,POINT (-81.537539 30.252543)
FL,POINT (-81.543729 30.392687)
WI,POINT (-90.432824 44.026096)
VA,POINT (-80.123459 37.274079)
NC,POINT (-79.787438 36.03446)
MI,POINT (-86.40034 42.065304)
OH,POINT (-84.424904 39.268983)
VA,POINT (-77.454784 37.493038)
CO,POINT (-104.677848 40.389401)
MI,POINT (-85.854216 42.854322)
MS,POINT (-90.155312 32.253258)
AR,POINT (-93.102902 35.275577)
GA,POINT (-83.758473 34.236324)
GA,POINT (-84.009389 32.306041)
WA,POINT (-122.332312 48.47363)
FL,POINT (-82.123257 28.036688)
CA,POINT (-118.21029 34.014895)
AR,POINT (-91.607466 35.806847)
AR,POINT (-91.657799 35.766807)
AZ,POINT (-112.069301 33.436783)
AZ,POINT (-111.839944 33.411771)
OH,POINT (-83.084181 39.963268)
CA,POINT (-118.21199 34.015574)
PA,POINT (-75.153867 39.906793)
KS,POINT (-99.967752 37.742009)
OH,POINT (-84.509166 39.327766)
MO,POINT (-93.274452 37.20946)
CA,POINT (-121.324189 37.94885)
WI,POINT (-89.304185 43.052478)
WA,POINT (-119.1932 47.13344)
WA,POINT (-119.312482 47.106416)
CA,POINT (-117.522332 34.028423)
GA,POINT (-84.425606 33.698744)
NE,POINT (-95.963472 41.218278)
IN,POINT (-86.063627 39.7194)
WA,POINT (-122.381014 47.238308)
LA,POINT (-90.018074 29.996218)
IN,POINT (-86.857238 40.37471)
OH,POINT (-84.408113 39.290514)
MO,POINT (-93.245997 39.116086)
GA,POINT (-84.391903 33.661379)
TX,POINT (-97.352313 32.826783)
IA,POINT (-94.13737 42.499362)
NJ,POINT (-74.13194 40.719812)
NE,POINT (-97.098183 41.450023)
AR,POINT (-93.997769 33.412351)
WA,POINT (-122.334221 47.57073)
TX,POINT (-96.564621 32.772521)
MN,POINT (-95.839221 46.818453)
NC,POINT (-80.963372 35.815237)
PA,POINT (-76.737958 40.042937)
PA,POINT (-76.419477 40.043494)
VA,POINT (-76.23829 36.865654)
PA,POINT (-75.598919 40.651863)
VA,POINT (-78.939157 38.029348)
TX,POINT (-96.85011 32.862288)
MD,POINT (-75.788205 38.714319)
NY,POINT (-77.871573 42.730593)
CA,POINT (-121.764886 36.903674)
GA,POINT (-83.747178 32.242412)
CA,POINT (-118.239671 34.043412)
CA,POINT (-118.239368 34.043694)
CA,POINT (-118.239697 34.043528)
PA,POINT (-75.420239 40.441551)
TX,POINT (-98.275318 26.153368)
TX,POINT (-96.718019 32.943322)
NE,POINT (-96.738125 40.847162)
NC,POINT (-77.924947 35.373749)
WI,POINT (-87.98576 43.752543)
WA,POINT (-122.450639 48.946646)
MI,POINT (-86.359325 42.091089)
OR,POINT (-122.998143 44.978162)
PA,POINT (-75.957641 40.441334)
WA,POINT (-120.303691 47.419702)
WA,POINT (-122.33047 48.473212)
CA,POINT (-118.19171 34.003854)
OR,POINT (-123.07622 45.525142)
OR,POINT (-123.07622 45.525142)
MN,POINT (-95.063453 46.885584)
FL,POINT (-81.777476 28.070945)
TX,POINT (-98.275428 26.158888)
TX,POINT (-98.396622 29.444479)
TX,POINT (-98.414671 29.442798)
WI,POINT (-92.721102 45.105009)
MO,POINT (-90.340616 38.688289)
IL,POINT (-87.731551 41.816304)
ID,POINT (-114.487465 42.549773)
OH,POINT (-83.143127 39.991646)
OH,POINT (-83.113594 40.002867)
NC,POINT (-78.516534 35.414556)
NY,POINT (-74.014564 40.651229)
CO,POINT (-104.938316 39.787078)
MA,POINT (-72.733472 42.168148)
IL,POINT (-87.748104 41.4545)
FL,POINT (-81.723322 30.324598)
MD,POINT (-75.806137 39.655014)
AZ,POINT (-112.221057 33.443529)
NE,POINT (-96.48999 41.422214)
IL,POINT (-87.65862 41.811773)
MO,POINT (-93.36962 37.217854)
WA,POINT (-122.329312 47.561224)
IA,POINT (-90.639953 41.498858)
OH,POINT (-81.497774 40.697683)
WI,POINT (-89.302869 43.030727)
CA,POINT (-117.486904 34.00195)
NE,POINT (-96.097458 41.247504)
NE,POINT (-96.117994 41.203024)
MI,POINT (-86.396916 43.609699)
OR,POINT (-122.962621 45.04958)
VA,POINT (-77.493468 37.579755)
MD,POINT (-76.554349 39.271638)
CT,POINT (-72.663549 41.643192)
CA,POINT (-118.176699 33.998741)
TX,POINT (-97.342858 32.829112)
ID,POINT (-116.214261 43.617667)
MO,POINT (-94.32701 37.198911)
DE,POINT (-75.606077 38.742319)
NY,POINT (-78.714963 42.840477)
IA,POINT (-91.637465 41.929612)
NJ,POINT (-74.401319 40.573056)
NJ,POINT (-74.412797 40.725156)
NJ,POINT (-74.467739 40.372773)
FL,POINT (-81.79676 28.05842)
DE,POINT (-75.426554 38.918428)
TX,POINT (-95.01941 29.670991)
OK,POINT (-95.997574 36.152325)
CO,POINT (-104.965537 39.788655)
CO,POINT (-104.967616 39.789796)
TX,POINT (-96.674689 32.78735)
GA,POINT (-84.525184 33.616057)
GA,POINT (-84.43819 33.61454)
MO,POINT (-93.537272 39.77991)
TX,POINT (-97.329592 32.982206)
CA,POINT (-120.876386 37.488101)
GA,POINT (-81.941907 33.455794)
NJ,POINT (-74.284289 40.515135)
VA,POINT (-78.345008 39.011636)
WA,POINT (-122.343011 47.611191)
WA,POINT (-122.33416 47.596649)
NJ,POINT (-75.253534 39.718295)
CA,POINT (-121.763717 36.909196)
NC,POINT (-80.822687 35.338684)
CA,POINT (-117.644141 34.055788)
MA,POINT (-71.022235 41.901305)
PA,POINT (-79.932181 40.46062)
UT,POINT (-112.029432 40.781293)
WA,POINT (-119.097288 46.280032)
TN,POINT (-89.675318 35.285114)
TN,POINT (-89.675318 35.285114)
OR,POINT (-116.958405 44.031465)
NH,POINT (-71.339941 42.899276)
MA,POINT (-71.056116 42.391225)
PA,POINT (-76.721758 40.035847)
AL,POINT (-86.847874 33.533966)
GA,POINT (-84.947736 32.452786)
IA,POINT (-95.363264 42.023706)
KY,POINT (-85.772911 38.219163)
AR,POINT (-94.136097 36.170872)
IA,POINT (-93.46501 41.64324)
WA,POINT (-119.814825 47.187648)
GA,POINT (-84.593519 33.724445)
CA,POINT (-117.641691 34.057928)
MI,POINT (-86.145145 42.208347)
CA,POINT (-117.641971 34.055723)
NY,POINT (-78.386909 43.218315)
IA,POINT (-93.211164 43.137249)
TX,POINT (-97.312809 32.651691)
GA,POINT (-84.592444 33.711496)
GA,POINT (-84.592444 33.711496)
NY,POINT (-77.186769 43.235304)
PA,POINT (-75.664655 40.593455)
OH,POINT (-81.469125 41.38286)
