State,County,Tract,Block_group,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
16,1,305,2,160010003052,1446,96.89,0.0,0.0,0.0,0.0,3.11,15.01,15.77,78.63,5.6,white_alone,-116.27469671837652,43.67778767461545,1.1248039250389894,3.668542377737016,5.661759575854909,1.0164403722295512,7.281044701041933,1.119086447109327,3.4024571823916063,1.076624968459624,0.5752706800308904,1.3007371381016353,1.3007371381016353,1.3007371381016353,3.722206509130908,True
16,1,306,1,160010003061,1304,95.86,0.0,0.0,0.0,0.0,4.14,0.0,0.0,83.05,16.95,white_alone,-116.25342661576222,43.66201283426117,2.1972503564979142,1.33461024093167,4.523224077209362,1.931704348219968,5.31661691224665,0.8909695548107096,1.171077088841443,1.6024495310788454,0.8608538416871316,1.1418600533827088,1.1418600533827088,1.1418600533827088,1.3703244621971782,True
16,1,306,2,160010003062,1445,94.53,0.0,0.0,1.25,0.0,3.32,1.52,1.66,88.86,9.48,white_alone,-116.26236706554695,43.67089161620339,1.5095575824234122,2.5107489882706746,5.122254362828915,1.1426757517934525,6.347780780296624,0.5317741427325964,2.2835538871713044,1.1204434944222637,1.3543149986792138,1.1913330398774242,1.1913330398774242,1.1913330398774242,2.4695137484125707,True
16,1,306,3,160010003063,1424,78.51,0.0,0.0,0.0,0.0,20.72,12.01,3.51,76.62,19.87,white_alone,-116.26284683857985,43.66238423661631,1.454664206757518,1.7229280266557991,4.220635755134796,1.2257913114104149,5.414958428251084,0.4162031164889581,1.4442304209871384,0.8537995252919393,1.2388415777561232,1.1078642597168724,1.1078642597168724,1.1078642597168724,2.11157247013297,True
16,1,401,1,160010004011,1068,97.19,0.0,0.0,0.0,0.0,2.81,3.65,2.25,75.66,22.1,white_alone,-116.2453035570191,43.64269809854907,3.3737452855323697,0.7533115291173763,3.362197226140032,1.0543221178535318,3.230381455836192,0.7560747377343651,1.160360649186993,0.6441702683747048,0.6640889374208997,1.160360649186993,1.160360649186993,1.1962517326028017,1.8198508865896657,True
16,1,401,2,160010004012,1334,96.25,0.0,0.0,0.0,0.0,0.45,10.94,23.99,74.66,1.35,white_alone,-116.23810273929148,43.64520934459155,3.8107153405907286,0.8695189260209903,3.80992891408414,0.7115671092006541,3.6532542047753767,0.7655527326294361,1.3928211876490326,0.4561145644667451,0.7687905575090376,1.3928211876490326,1.3928211876490326,1.4258963154420876,1.2039671900007942,True
16,1,402,1,160010004021,1347,86.93,0.0,6.01,0.0,0.0,0.82,2.69,3.86,84.56,11.58,white_alone,-116.21986229023526,43.62603119987678,3.1597324868104293,1.964797858469332,2.440858038137783,0.8611678023867795,1.3998002939511838,0.3343266573298023,0.6070589015819039,0.657132494526831,1.301474464662164,0.6070589015819039,0.6070589015819039,0.6070589015819039,0.6784808656628314,True
16,1,402,2,160010004022,1330,64.81,0.0,0.0,0.0,0.0,30.53,19.4,10.75,79.55,9.7,white_alone,-116.22674498353108,43.62855837706853,2.837796845079784,1.418601411989318,2.881298452343482,1.3749956682614466,1.9526026206618368,0.7046399037790162,1.1893191565563317,0.8785824786509555,1.0268140337797842,1.1893191565563317,1.1893191565563317,1.1893191565563317,0.5104121416753588,True
16,1,402,3,160010004023,1044,66.09,0.0,1.34,25.86,0.0,2.87,19.35,12.36,79.21,8.43,white_alone,-116.23397238750744,43.63121435195891,2.6186979352779884,0.8186937782068235,2.6455152115701,0.999388100549854,2.408925300419408,0.5519209729683199,1.2898918423131651,0.8260565469010664,0.9166419313287808,1.2898918423131651,1.2898918423131651,1.2898918423131651,0.9387267538502856,True
16,1,501,1,160010005011,993,96.27,0.0,0.0,0.0,0.0,0.0,7.45,8.46,84.19,7.35,white_alone,-116.22819549212818,43.645496048684905,4.187566694684471,1.270056606149197,4.074490894110006,0.6951683634363874,3.641971877555775,0.3897635704072344,2.110383603662394,0.8431613784090218,0.9749018135165964,2.110383603662394,2.110383603662394,2.1399098852469773,0.4088078482255704,True
16,1,501,2,160010005012,681,100.0,0.0,0.0,0.0,0.0,0.0,36.42,14.68,77.68,7.64,white_alone,-116.22969115765486,43.6505743087823,4.417202996803077,1.576920436553404,4.551661244189432,1.183479900575474,4.211276631068417,0.4182766776956638,1.8848916274497545,1.202341464656372,1.0341254066243586,1.8848916274497545,1.8848916274497545,1.908010858879143,0.7173632760555043,True
16,1,501,3,160010005013,1205,81.83,0.0,0.0,2.32,0.0,14.11,1.58,11.29,78.17,10.54,white_alone,-116.22789882268418,43.63890912410426,3.592751904123203,0.9390651749906972,3.610957181275378,0.4090204870177613,2.9665296865389625,0.4854727700031346,2.0002267102593656,0.4305037900953055,0.3998806174278472,1.994156119436172,1.994156119436172,1.994156119436172,0.8900335602608538,True
16,1,502,1,160010005021,1812,81.9,2.32,0.0,0.0,0.0,13.02,11.26,3.59,75.0,21.41,white_alone,-116.21759559764328,43.63220846139521,3.6719015173062304,1.8482184333142024,2.51571904241164,1.0444344691767142,1.9643587838426129,0.1724973772792335,0.9217345093527352,1.0763767311734525,0.7453383610116132,0.9217345093527352,0.9217345093527352,0.9217345093527352,0.3840108129232033,True
16,1,502,2,160010005022,1602,71.97,0.0,0.0,7.74,0.0,11.8,8.41,8.86,81.09,10.05,white_alone,-116.21887055458558,43.64137249543637,4.269967895796601,1.7081131978919823,3.2123377027398106,1.1196402861285404,2.97839877739692,0.59487181311271,1.5740954241737697,1.1955602502260263,0.5650344577196703,1.5740954241737697,1.5740954241737697,1.9147641908403608,0.6355206100979048,True
16,1,601,1,160010006011,851,89.66,0.0,0.0,0.0,0.0,2.12,2.12,2.0,91.19,6.82,white_alone,-116.20959857584228,43.62972787838886,4.082420592634818,2.546657592166538,1.8205501922798024,0.5251056353207522,1.6193624998568663,0.6515173792066289,0.5986911435069714,0.6564821135280945,1.4014947156072772,0.5986911435069714,0.5986911435069714,0.5986911435069714,0.9511095827090758,True
16,1,601,2,160010006012,1158,94.56,2.59,0.0,1.81,0.0,0.0,4.75,2.33,78.15,19.52,white_alone,-116.20983834972598,43.63693541568571,4.485579903793957,2.3789526438650896,2.352403021099137,1.3266524875656192,2.4186792260089063,0.6909666655656194,0.6987521533345106,1.4530696600864508,1.088987779464013,0.6987521533345106,0.6987521533345106,1.3691004366418107,1.1536531724992676,True
16,1,602,1,160010006021,600,100.0,0.0,0.0,0.0,0.0,0.0,13.17,3.0,86.67,7.0,white_alone,-116.2001965950856,43.62571510161623,4.616140001147829,3.4135203620674344,0.9422199311574412,0.7333982655824105,1.4571784629369549,0.8576645148983144,0.8246463040365699,0.846579483715871,1.5916261968046137,0.8246463040365699,0.8246463040365699,0.9516873842201058,0.2817306405667371,True
16,1,602,2,160010006022,811,75.71,11.71,0.49,0.0,0.0,11.34,25.63,5.55,77.68,16.77,white_alone,-116.19545789512088,43.62575020000887,4.982151976919404,3.767428550403093,0.6542595877652002,0.6985553948596069,1.7150701647344624,0.9848698416264444,0.8250118498110145,1.0112073547775504,1.855827715202781,0.8250118498110145,0.8250118498110145,1.0848845382698795,0.3015347185650937,True
16,1,602,3,160010006023,1859,86.66,0.0,0.54,0.0,0.0,12.8,1.94,4.2,87.04,8.77,white_alone,-116.20257686884048,43.631233647228,4.663507177203464,3.0422301507879714,1.4902359637720912,0.8761447893669558,1.907430374366924,0.2162653438320679,0.181898050935093,1.0499340394813317,1.8095517051368528,0.181898050935093,0.181898050935093,1.0646171388590244,0.9104588448141908,True
16,1,701,1,160010007011,2339,84.99,1.24,0.51,4.45,0.0,6.93,8.04,1.24,85.98,12.78,white_alone,-116.17884514552614,43.60771958322447,2.8083242245608298,2.344179495457508,1.2206381415408138,1.2188692526494311,2.719103160578577,0.8539561019525586,1.021363554240799,1.1312195180535476,2.267133779452559,1.021363554240799,1.021363554240799,1.192057626297588,2.090867667064689,True
16,1,701,2,160010007012,2037,87.83,1.13,0.0,5.35,0.0,5.15,8.39,2.9,65.73,31.37,white_alone,-116.18283786746618,43.60378522584597,2.450049841409963,1.803922957110388,1.2457969073695203,1.010109359016437,2.598470307011219,1.0298850971521707,0.6111670282417073,0.6081353272222473,1.798331913058303,0.6111670282417073,0.6111670282417073,0.894728316588653,1.723723707552676,True
16,1,701,3,160010007013,1362,87.22,2.06,0.0,0.15,0.15,6.24,14.13,10.21,78.93,4.41,white_alone,-116.17865544758294,43.61296380683677,3.384903341600655,2.8648623998799776,1.080350949543701,1.09627924178699,2.6157596297567065,0.3489598852344036,1.2375958241131455,1.6518177837766883,2.5970912362141703,1.2375958241131455,1.2375958241131455,1.2375958241131455,1.880275260820052,True
16,1,703,1,160010007031,1900,79.74,0.0,0.0,10.47,0.0,5.63,1.05,5.16,77.68,17.16,white_alone,-116.13442010149068,43.5739595110642,3.329025393843427,5.108057109914003,6.345668155387228,3.1404070054591497,7.685189899149564,0.7558210008795294,3.4194835382391777,3.1391275607444675,0.6573364192839348,3.4194835382391777,3.4194835382391777,3.7048274551133935,1.769651556377228,True
16,1,704,1,160010007041,1256,93.15,0.0,0.0,0.4,0.0,6.45,1.35,5.25,74.52,20.22,white_alone,-116.14150083704756,43.58603183986743,2.638757778316067,4.247245049914829,5.053358520633252,2.53140903176968,6.468239548772886,1.202288094179924,2.5781742571600783,2.4407890254744635,2.113005964043585,2.5781742571600783,2.5781742571600783,2.737811585349181,2.8309324658954287,False
16,1,704,2,160010007042,1977,91.25,1.72,0.0,1.37,0.0,3.64,6.4,0.25,77.95,14.72,white_alone,-116.15027905744957,43.603671553455264,3.0101968343361416,3.846848994428676,3.536359757016759,3.0101968343361416,5.054021625639789,2.6266628221075767,2.4279781741752724,2.5251337910908846,2.9882520492176714,2.4279781741752724,2.4279781741752724,2.434353863973828,2.662722667994532,False
16,1,803,1,160010008031,820,58.54,0.0,6.34,0.49,0.0,15.37,3.41,12.93,70.49,16.59,white_alone,-116.16920399592772,43.57401982076563,1.0393964009753778,2.6517152847986734,4.677059275224364,0.7934448939516905,5.683028249673733,0.4498913752206883,0.8454884170620105,0.5649449989161931,0.3698810013944609,0.8454884170620105,0.8454884170620105,1.4534276290220378,1.1896971129411589,True
16,1,803,2,160010008032,1571,75.88,0.57,0.0,17.0,0.0,2.8,8.59,6.11,77.08,16.36,white_alone,-116.16963625790564,43.56787339400059,1.5237020729696464,3.1219981118725504,5.298289415883083,1.4014605753722855,6.228244213209159,0.2972733669213664,1.4193792112478625,1.1920381745970092,0.7004519557245387,1.4193792112478625,1.4193792112478625,1.419587171398233,1.5710508974812285,True
16,1,803,3,160010008033,792,94.95,0.0,0.0,0.0,0.0,5.05,12.12,4.29,77.65,18.06,white_alone,-116.1586654279461,43.57063986593887,1.821225410524991,3.5489600149884577,5.39779008090161,1.586797310096378,6.504954473823395,0.8231242512166063,1.7320850745921943,1.4319180104710818,0.4856396482650372,1.7320850745921943,1.7320850745921943,2.2619576744451777,2.118165776603189,True
16,1,803,4,160010008034,1174,76.75,0.0,0.0,2.04,0.0,21.21,3.49,1.53,87.31,10.48,white_alone,-116.1518537594828,43.56599943423174,2.573022173470341,4.298216581310064,6.123751868907956,2.339108001136066,7.2540216710399745,1.2044520460267656,2.4809155541871486,2.181931284573478,0.546107416355839,2.3563231222216348,2.3563231222216348,2.3563231222216348,2.840018259007644,True
16,1,805,1,160010008051,1374,80.86,0.0,0.0,7.57,0.0,8.44,4.73,2.11,80.28,15.87,white_alone,-116.16477838895251,43.57806374630715,0.9011776754843268,2.6859444072102154,4.4366186466720885,0.6803200238984988,5.559339798152109,0.1818030703439563,0.9318168935925006,0.6571223457293123,0.6028997280417943,0.9318168935925006,0.9318168935925006,1.6400786863698928,1.4441186090957558,True
16,1,805,2,160010008052,1042,88.48,0.0,0.0,9.69,0.0,0.96,2.78,0.0,72.65,26.49,white_alone,-116.14395313852752,43.56921629139031,2.844004403498372,4.630391511610525,6.203942414909318,2.625033072777134,7.436406580954733,0.683484737463546,2.8428479108171723,2.5444716056497523,0.4853425022226464,2.8428479108171723,2.8428479108171723,2.887878641537987,2.311791843948519,True
16,1,805,3,160010008053,987,87.13,4.15,0.0,4.26,0.0,3.24,3.55,0.0,69.0,31.0,white_alone,-116.16175366204293,43.58203641478583,0.984510633292088,2.7331573116121293,4.199264535387196,0.8457669212703129,5.415232155146278,0.6377432519360232,1.065488721853313,0.7856528588050498,1.0570200456701264,1.065488721853313,1.065488721853313,1.441607168767108,1.4117160474830988,True
16,1,806,1,160010008061,1560,77.18,0.0,0.0,0.0,0.0,21.79,38.85,19.87,66.67,13.46,white_alone,-116.19108535466415,43.595884720618926,2.0127724093792887,0.7247877945089565,1.8580552015463645,0.3298582308958476,2.680297340097273,0.2518584938814831,0.6417248491909378,0.3344901592861913,1.0715841888626685,0.6417248491909378,0.6417248491909378,0.933870907058586,1.4082004562896018,True
16,1,806,2,160010008062,1407,76.83,0.0,6.82,0.14,0.0,10.45,20.91,45.56,50.18,2.49,white_alone,-116.18460132115707,43.59573167580194,1.6829221747740295,1.0095441704361017,1.9756082510859807,0.8254722423080493,3.033844855711853,0.689544616509388,0.4135401720480542,0.3084209047303939,1.1298668520558752,0.4135401720480542,0.4135401720480542,0.4135401720480542,0.997819237277251,True
16,1,807,1,160010008071,1185,77.22,4.3,0.0,10.3,0.0,1.52,21.6,1.52,75.95,18.57,white_alone,-116.17661013183628,43.5839489660725,0.2550966003609323,1.539615083011799,3.428114299237499,0.2550966003609323,4.443427967332514,0.3644085168946581,0.3727278078925988,0.2825724534066545,0.3321414009677808,0.3727278078925988,0.3727278078925988,0.7854142979042341,0.5617523798042175,True
16,1,807,2,160010008072,935,67.91,0.0,0.0,16.79,0.0,10.48,10.48,19.14,66.95,13.9,white_alone,-116.18382131572685,43.59040041212511,1.167772945517724,0.8224424727744095,2.560680925280171,1.1671019577246766,3.5204546952600464,0.7558465250964326,0.6984489077648484,0.6557789565929785,0.5623658879029164,0.6984489077648484,0.6984489077648484,0.7244697021446089,0.6168827500568642,True
16,1,808,1,160010008081,997,100.0,0.0,0.0,0.0,0.0,0.0,7.32,0.0,74.32,25.68,white_alone,-116.17981873749684,43.59364660967098,1.304508371567504,1.2220949333842417,2.3366101853147785,1.261026386131985,3.470919851143877,0.7211973163657409,0.2145974295467848,0.4950913575919874,0.8011043036077764,0.2145974295467848,0.2145974295467848,0.2753914701729905,0.5851868515825718,True
16,1,808,2,160010008082,1257,81.62,0.0,0.0,4.93,10.1,3.34,8.67,6.6,61.89,31.5,white_alone,-116.17414323905842,43.59241924390832,1.079210078069103,1.6263639944335624,2.68160284093838,1.079210078069103,3.901762755085858,0.4725083650354861,0.1783715943540994,0.2607363515737417,0.7594793429818707,0.1783715943540994,0.1783715943540994,0.1783715943540994,0.4218854134868431,True
16,1,809,1,160010008091,2079,92.83,0.0,1.83,0.0,0.0,5.34,9.38,5.63,82.59,11.78,white_alone,-116.17833473162604,43.57225168874354,0.7902737662189654,2.3153526337008024,4.6245589956627935,0.7902737662189654,5.452240460063896,1.0986341160151718,0.692482397195113,0.6476286685390241,0.5759851583350657,0.692482397195113,0.692482397195113,0.692482397195113,0.7651692227252466,True
16,1,809,2,160010008092,606,98.02,0.0,0.0,1.82,0.0,0.17,0.17,0.0,75.58,24.42,white_alone,-116.17930590024916,43.5792041578764,0.5823864812356054,1.662757207528817,3.8576454230775497,0.3765811978832579,4.747056856684863,0.8997300890953749,0.2642882855509931,0.5182800144658856,0.6283973067159192,0.2642882855509931,0.2642882855509931,1.0963444698424336,0.2890483691637006,True
16,1,810,1,160010008101,576,96.01,0.0,0.0,0.0,0.0,1.74,6.94,2.26,93.58,4.17,white_alone,-116.188584966983,43.581642076890816,1.1726129374964498,0.9976584023508752,3.452570992346824,0.6687443646772804,4.145111494389215,1.2254413458899445,1.0266847324454722,1.2223697649266887,0.4794733938489788,1.0266847324454722,1.0266847324454722,1.1987215903057842,0.5979884892877914,True
16,1,810,2,160010008102,643,71.85,11.98,3.42,0.93,0.0,11.82,44.01,9.49,72.78,17.73,white_alone,-116.18915884605768,43.58671734980793,1.304065120065773,0.5123240681854905,2.8863603033575465,1.0633641539396306,3.622678582544812,1.098013598625123,1.2443123824073152,1.1585657081725569,0.3507590388313168,1.2443123824073152,1.2443123824073152,1.2443123824073152,1.057654028001936,True
16,1,810,3,160010008103,1811,90.12,0.0,0.0,2.04,0.0,1.55,2.54,3.2,84.43,11.26,white_alone,-116.1871942593149,43.574529002177705,0.3864829278287096,1.7751173774296074,4.250577593192828,0.3864829278287096,4.911978074396943,1.666224921099443,0.4002074986186534,0.5019716559537243,0.4381751368249407,0.4002074986186534,0.4002074986186534,0.4002074986186534,0.5592357700307611,True
16,1,901,1,160010009011,941,76.73,0.0,0.0,1.59,0.0,21.68,27.95,9.88,72.05,18.07,white_alone,-116.20117879834469,43.59300594638229,2.474312740992073,0.6849448582217488,2.285679982393487,0.7244641281820382,2.591472954501677,0.8200405426655897,1.123834742709583,0.8485380984100179,0.6431905583421899,0.8793904128584227,0.8793904128584227,0.8793904128584227,2.043925460976871,True
16,1,901,2,160010009012,1115,84.39,0.0,0.0,1.35,0.0,13.09,23.14,11.21,70.13,18.65,white_alone,-116.19690886898444,43.58420821041237,1.6236473085762098,0.6559473847437594,3.1735624738737176,0.6621439591112362,3.628133472454663,0.4972839351865929,1.3945139560260231,1.4712470697850233,0.3513762470536915,1.3945139560260231,1.3945139560260231,1.3945139560260231,1.3161252217281785,True
16,1,902,1,160010009021,1344,81.25,0.37,0.0,0.0,3.35,13.17,47.39,13.62,82.81,3.57,white_alone,-116.1975171110242,43.59573438177133,2.3877739989332345,0.727107270204311,1.9154942292241548,0.302774891599858,2.421468558470666,0.4567685745270954,0.7117697442874505,0.425956898134165,0.5966881255973101,0.7117697442874505,0.7117697442874505,1.2586240467613026,1.857514927879093,True
16,1,902,2,160010009022,3387,71.18,1.59,4.07,6.85,0.0,13.52,67.0,12.55,77.86,9.6,white_alone,-116.20253332997396,43.60256919128313,3.190055313104044,1.586287565241295,1.3764813639839588,0.7779055578713063,1.561170064109324,0.9534722359655838,0.7456466069415751,0.7530708943078968,0.4724520100240003,0.7456466069415751,0.7456466069415751,1.0878856377386077,1.0563735141435229,True
16,1,1001,1,160010010011,904,100.0,0.0,0.0,0.0,0.0,0.0,7.96,7.52,65.82,26.66,white_alone,-116.23845807386353,43.60805474554569,1.4366991725703488,1.2170815849468988,1.3293948014782335,0.7669868042280876,1.1912111366586715,0.399523276902949,0.4286818403352035,0.4117727218642107,0.74526006736649,0.4286818403352035,0.4286818403352035,1.2373355185078845,1.050072034498383,True
16,1,1001,2,160010010012,1186,92.66,0.0,0.67,2.7,0.0,2.95,4.55,7.67,74.45,17.88,white_alone,-116.23417193695012,43.6151672070505,1.6799557249865733,0.7459108108089286,1.6853697566876484,1.5769644747729723,1.383325381288482,0.4881610956540999,0.4998994684033238,0.7577478819727551,1.4143936935789632,0.4998994684033238,0.4998994684033238,0.4998994684033238,1.878609904846833,True
16,1,1002,1,160010010021,2172,77.07,0.0,0.0,2.62,0.0,15.19,63.63,12.52,80.34,7.14,white_alone,-116.21761904916474,43.60910249154723,2.92408753004799,2.2377248993041947,2.0626808667628675,1.6306739459178594,0.8623630699717587,0.7802638946473067,0.5652290948975062,1.0284278478212685,0.7289694740454952,0.5652290948975062,0.5652290948975062,0.5652290948975062,0.8804642193230952,True
16,1,1003,1,160010010031,1923,87.78,0.0,1.77,1.56,0.0,8.37,14.61,16.43,68.38,15.18,white_alone,-116.22567407272346,43.6014771244303,1.8685550827280824,2.324190061011204,2.5525522795560787,1.2777482752086549,1.9298340656154,0.6921920776309938,1.6043143085798444,1.237802225981237,0.2982343979082968,1.3603148344226133,1.3603148344226133,1.3603148344226133,0.6629002948819266,True
16,1,1003,2,160010010032,1184,96.71,0.0,0.0,2.03,0.0,1.27,25.0,11.4,72.8,15.79,white_alone,-116.22640306909462,43.60716564387104,2.3039023549223594,1.7971635288296277,2.297247219398427,1.5583844657031571,1.528383594063046,0.8301832324548556,1.117456145086574,1.3867190820699449,0.4863988355268533,1.117456145086574,1.117456145086574,1.139376326286456,1.2257085048393792,True
16,1,1100,1,160010011001,1594,82.12,0.0,0.0,1.25,0.0,16.62,20.65,21.83,65.87,12.3,white_alone,-116.26140903141032,43.63973823563276,2.82878963650904,1.3948714396591846,2.195575510316911,1.3675332453038918,2.917415031060143,0.8523248196606688,1.4677962129707636,1.2266760841781934,1.1829158507432622,1.2377076615714242,1.2377076615714242,1.2377076615714242,1.90110954120642,True
16,1,1100,2,160010011002,559,47.94,0.0,0.0,0.0,0.0,37.75,4.29,26.12,64.4,9.48,other,-116.24978428293896,43.63921823939904,2.9266542306601653,0.8592572887066682,2.9079197461314874,1.3801643241442751,2.794677036074368,1.1924973950553492,1.3895102856187835,0.6943150509225688,0.8247444575000022,0.8288628766099195,0.8288628766099195,0.8288628766099195,2.2741828041234053,True
16,1,1100,3,160010011003,1477,64.66,0.0,0.0,0.0,0.0,33.92,30.74,17.13,68.04,14.83,white_alone,-116.24164485495874,43.62674531027141,1.8477329957813824,0.8969280330072416,1.86844466293296,1.6562414027995969,1.6615634399483177,1.2202882186034432,0.9598670018875128,0.5780479578965382,1.3042458025599528,0.9159874036739954,0.9159874036739954,0.9159874036739954,1.6544439197478038,True
16,1,1100,4,160010011004,696,79.89,0.0,0.0,3.45,0.0,13.22,16.67,3.02,72.41,24.57,white_alone,-116.27057437186905,43.65117214866609,1.855324585988814,1.7147440365090203,2.83401996746528,0.7792308559512653,4.345012072413422,0.7630811075605265,1.4075454728080052,0.6290170729899681,1.0308087152002394,1.387172230532088,1.387172230532088,1.387172230532088,2.6146205488529635,True
16,1,1201,1,160010012011,1755,83.53,0.0,0.0,0.0,0.0,13.85,17.38,14.59,63.7,21.71,white_alone,-116.26881141511984,43.63017471672828,1.6404872591569093,0.5426957946986826,1.1480563526371452,1.3252743092488015,2.1805285019256164,1.0808662417784445,2.074260274560093,0.5845193190662484,0.5313759705791219,1.4733158712384915,1.4733158712384915,1.4733158712384915,0.7192107791967928,True
16,1,1201,2,160010012012,654,91.59,1.38,0.0,0.0,0.0,2.45,13.91,2.6,65.75,31.65,white_alone,-116.25903176599614,43.629839426021206,1.8854305587931444,1.3123792349914367,1.842698395186672,1.7071419188640864,1.8033856346683177,1.5737876696518691,1.5609435120696362,1.1408588790341003,1.2340293450286166,0.7092140135722227,0.7092140135722227,0.7092140135722227,1.4154774457405297,True
