State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools
5,33,20402,2,5,33,20402,2,50330204022,2266,81.42,2.87,2.12,0.0,0.0,9.18,8.94,14.25,62.93,22.11,1,-94.15652963491952,35.494624493971784,6.779713001983426,16.965861293961886,17.772233566569806,6.2634615722846165,31.831836907486903,4.741386087276948,3.972304289155194,5.750626167942855,4.742458726897658,2.3234946940246624,2.3234946940246624,2.3234946940246624,23.109468269944553
5,33,20402,3,5,33,20402,3,50330204023,661,87.59,0.0,2.27,0.0,0.0,10.14,16.49,7.72,68.84,23.45,1,-94.0885729328513,35.47810647997521,12.711040796310236,22.410803133716907,23.116828353045385,4.117135478248327,35.49364604785242,4.797973655275847,4.337897873424517,4.006426403659519,5.235833371068416,4.337897873424517,4.337897873424517,8.49298596327382,26.31617987232095
5,33,20501,1,5,33,20501,1,50330205011,1500,34.67,0.0,0.0,0.6,0.0,62.73,23.01,28.87,62.07,9.07,6,-94.31808388448772,35.391932452868375,4.157577503950642,5.437551929849817,5.056705718263761,4.157577503950642,13.46067393865417,4.091530709656331,3.9583461991732016,5.248810238897776,4.238742439752432,3.9583461991732016,3.9583461991732016,5.128332808000816,6.088817290971135
5,33,20501,2,5,33,20501,2,50330205012,1546,42.04,5.05,0.0,16.04,0.0,29.04,21.09,9.77,65.2,25.03,7,-94.32487550664224,35.42976644941636,4.41093513515848,1.3330720991450768,1.408389287133455,1.31038276469318,16.626445580351184,1.3181306623735909,1.3279182159160334,1.3391438056116425,1.3804857535196822,1.3279182159160334,1.3279182159160334,1.5554636030391995,6.262436808066712
5,33,20501,3,5,33,20501,3,50330205013,1535,82.08,0.0,0.0,4.43,0.0,10.88,41.76,21.5,61.69,16.81,1,-94.3021523927109,35.43294385437479,5.7920106746717535,2.797923686606848,3.331277485698956,2.4224615199489947,17.991667940479125,3.1761214846740384,2.467069434886282,2.379665699061276,0.481176105047934,2.4392042615855094,2.4392042615855094,2.4392042615855094,8.247625065447991
5,33,20502,1,5,33,20502,1,50330205021,778,79.82,2.57,6.3,0.0,0.0,3.34,21.92,10.67,31.36,37.15,1,-94.30632515495344,35.45071931369488,4.709804366403127,2.5640453473004654,3.399252785252445,2.108022081564006,19.478722207975395,1.761895939216345,1.9661320084564555,1.7411715721385164,1.674362272695667,1.909588221594628,1.909588221594628,1.909588221594628,8.96948041045217
5,33,20502,2,5,33,20502,2,50330205022,2241,85.68,3.75,0.62,0.0,0.0,6.56,16.28,8.26,63.81,23.25,1,-94.32768149213544,35.444907891621945,3.124220690571214,0.6155363280246814,1.4600463370959342,0.3815691040611333,18.015797198461097,1.083651789183323,0.2131310002686644,0.2131877917729792,0.5382775256698065,0.2131310002686644,0.2131310002686644,0.22965991249252,7.079992635364776
5,33,20502,3,5,33,20502,3,50330205023,372,100.0,0.0,0.0,0.0,0.0,0.0,20.97,0.0,72.31,27.69,1,-94.35104392713576,35.43561342684931,2.705865725051162,1.836703392834576,1.1097382487978074,0.4085089957950737,16.248668142247258,1.254713646263101,0.1429768182580438,0.184690009243244,0.3962998710862818,0.1429768182580438,0.1429768182580438,0.2735504412239903,4.885353225913801
5,33,20502,4,5,33,20502,4,50330205024,1274,79.36,3.22,1.81,0.0,0.0,11.62,36.68,10.91,58.56,22.14,1,-94.344021286626,35.432407374099974,3.232996745706348,1.4315850892883109,0.5785786036421404,0.5070129441738974,16.146151395482136,0.7390311086167006,0.8437508170441886,0.464093856388771,0.2413945092263796,0.5845462523026665,0.5845462523026665,0.5845462523026665,5.049430568614134
5,33,20601,1,5,33,20601,1,50330206011,1245,84.02,2.81,0.0,0.0,0.0,7.55,7.39,5.14,75.5,19.36,1,-94.21970637729969,35.549251483295286,7.627654631734276,15.785009591656742,16.628738125783876,7.142963974305508,32.90715427729808,6.698919339477804,6.111093553281782,6.324407477084246,2.0605672499036034,6.111093553281782,6.111093553281782,7.513230764919181,22.221161817694714
