State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
44,7,16700,2,44,7,16700,2,440070167002,2146,33.92,15.56,0.05,1.03,0.0,29.45,17.39,9.09,73.49,17.43,7,-71.37866014205524,41.87093982451434,0.8649782537517534,1.3292427564209806,0.2147195107063559,0.8649782537517534,0.2949749133558568,0.6640375482973456,0.58938599478198,0.7972561643847621,0.6634512718913144,0.58938599478198,0.58938599478198,0.9423258100718968,0.6926522809673087,True
44,7,16800,1,44,7,16800,1,440070168001,1093,64.32,2.84,0.0,0.0,0.73,22.6,13.69,15.74,79.23,5.03,1,-71.36002247694813,41.87788652474784,0.5115383241808495,0.685668046488041,1.6235154156256268,0.5115383241808495,0.7143582006611848,0.9901859557461842,0.5939187690598863,0.4735477210024188,0.5310104502647859,0.5939187690598863,0.5939187690598863,1.8805792903547864,0.5485181385571848,True
44,7,16800,2,44,7,16800,2,440070168002,521,77.35,0.0,0.0,1.54,0.0,18.23,1.73,2.3,85.8,11.9,1,-71.35628157929432,41.87323643952176,0.6385226439691994,1.2074329227587135,1.7106638000002294,0.6385226439691994,1.2274730709285775,1.1753381694872376,1.1583079330165031,0.5297964636162783,0.253749154745219,1.1583079330165031,1.1583079330165031,2.326379408469859,0.2373689269605637,True
44,7,16800,3,44,7,16800,3,440070168003,1482,73.55,8.1,0.0,1.69,0.0,15.32,8.5,0.74,84.35,12.75,1,-71.36137105219314,41.87332753935307,0.8580247072065672,0.9003282730371959,1.3052190711356435,0.5107790820822844,0.9117014698059598,1.07523391737895,0.8990451944861688,0.7655486539218873,0.5543332952690488,0.8990451944861688,0.8990451944861688,1.937708908766626,0.5861186396207583,True
44,7,16900,1,44,7,16900,1,440070169001,469,86.35,9.17,0.0,0.0,0.0,4.26,2.37,11.09,68.66,19.19,1,-71.35105027453166,41.87372210045926,0.6039887892775869,1.549911177950643,2.145657621381997,0.6039887892775869,1.575284643617998,1.1835696775270037,1.4249733464660774,0.5244166931009712,0.3454357864239267,1.4249733464660774,1.4249733464660774,2.7159072721072555,0.3303274203937741,True
44,7,16900,2,44,7,16900,2,440070169002,565,98.94,0.18,0.0,0.0,0.0,0.0,0.0,1.59,67.96,30.44,1,-71.34342914439873,41.869082870961286,1.3796529950726018,2.350435886209548,2.736361093858485,1.3796529950726018,2.3736438521987577,0.9840514625120672,1.0966762510895425,1.013284519265687,1.1561436518366004,1.0966762510895425,1.0966762510895425,3.486242563526652,1.051123838593057,True
44,7,16900,3,44,7,16900,3,440070169003,627,63.96,0.0,0.0,0.0,0.0,25.52,0.0,4.78,70.33,24.88,1,-71.35088572974873,41.87657551845693,0.3468936057519047,1.453151318345333,2.242758126095573,0.3468936057519047,1.4830338838997668,1.5009701646660556,1.345741866826375,0.3126081106708708,0.352383137944445,1.345741866826375,1.345741866826375,2.6509589251758627,0.3582168861480375,True
44,7,17000,1,44,7,17000,1,440070170001,520,59.42,0.0,0.0,12.69,0.0,15.0,12.5,1.35,80.0,18.65,1,-71.36134374313464,41.86174877208221,0.6332063066589207,2.0798836308450315,1.5466399793313417,0.5704135031127555,2.0526848886151265,0.7721618226338868,0.8750300351448095,0.6821299896318781,0.4546957764526367,0.8750300351448095,0.8750300351448095,2.632593044039888,0.7864498753210436,True
44,7,17000,2,44,7,17000,2,440070170002,565,70.44,0.0,0.0,21.95,0.0,1.42,5.13,6.37,70.97,22.65,1,-71.36159631145465,41.86754097277799,1.1674428224715687,1.4601252852383353,1.258644607949712,0.6662749376813538,1.4615236454418603,0.9207414207047186,1.1565827469054886,0.6562816170926941,0.178255622573491,1.1565827469054886,1.1565827469054886,2.2066521680645805,0.4666740861263061,True
44,7,17000,3,44,7,17000,3,440070170003,919,40.15,11.32,0.0,2.39,0.0,40.15,0.0,2.83,75.73,21.44,7,-71.35668327490814,41.86726588757809,1.0268685467311975,1.6750982695963914,1.6637322623581277,0.8543472089492727,1.6842680054702357,0.5924923837512656,0.8567987746654979,0.3096086289912172,0.2942578455536042,0.8567987746654979,0.8567987746654979,2.5704854886264483,0.0690355355488972,True
