State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes
49,49,980300,1,49,49,980300,1,490499803001,2211,38.58,1.81,0.0,0.0,0.0,58.8,9.63,29.22,64.04,6.74,6,-111.6519285341571,40.20910118220836,4.93928044648963,5.403157880987425,3.1888786968818463,0.8813184716283033,4.651700402995548,2.12569062400897
49,49,980300,2,49,49,980300,2,490499803002,2161,34.57,9.67,2.08,1.34,0.0,49.28,31.74,26.79,63.03,10.18,7,-111.67123671523476,40.22382493835174,3.0953191300227285,5.924957466750769,2.718706307164922,1.195253795973048,2.809680210838775,1.5431225456651105
49,49,980400,1,49,49,980400,1,490499804001,414,80.19,2.17,7.0,0.0,2.17,8.45,18.1,0.0,12.56,10.63,1,-111.62375200925088,40.233874776839166,4.305223511228998,7.701613151402194,0.9874572760636438,2.0564614890530097,4.1460919235042,0.7695186619544143
49,49,980500,1,49,49,980500,1,490499805001,1617,47.06,0.8,0.0,1.73,0.0,27.89,22.63,12.43,82.37,5.19,7,-111.63188025748688,40.20223407725256,4.945438673402652,4.560537559458603,3.63541124683192,2.622543794971324,6.054281849087697,2.9240976336591813
49,49,980600,1,49,49,980600,1,490499806001,0,,,,,,,,,,,7,-111.72340121494469,40.21507663614261,6.159723813736639,6.74458565173928,6.10261108010408,5.116576013516165,6.0024151237598975,2.280731265672079
49,51,940501,1,49,51,940501,1,490519405011,3240,70.59,0.86,0.0,0.52,0.0,25.09,11.27,10.09,75.0,14.91,1,-111.09488225515643,40.29988512505914,35.06988454323765,48.09649344128219,33.79330210267241,34.7060993113419,33.677259072157064,33.748068518255614
49,51,960100,1,49,51,960100,1,490519601001,2259,75.25,0.0,0.13,0.0,0.0,22.66,10.36,17.35,75.43,5.53,1,-111.42535883385094,40.52243704265536,2.595855659011049,16.81587084629602,3.953308686652496,1.3544030192848593,4.079556936820856,2.998644700824068
49,51,960100,2,49,51,960100,2,490519601002,2303,71.91,0.0,2.56,0.0,0.0,22.67,7.43,15.68,73.38,10.94,1,-111.4187367187548,40.49872245547922,0.4353679690721833,19.47458483023653,1.4363986760997869,0.4353679690721833,1.5561533581082396,1.223240938198905
49,51,960100,3,49,51,960100,3,490519601003,949,70.07,0.0,0.0,0.0,0.0,28.24,1.48,3.69,87.57,8.75,1,-111.42831608656552,40.49441470001412,1.3763796916454718,19.65641019947014,1.933328253384048,1.2199836734866851,2.021177085976928,0.4193620131311149
49,51,960201,1,49,51,960201,1,490519602011,1160,78.19,0.0,0.0,0.0,0.0,21.81,0.95,1.12,91.03,7.84,1,-111.40010677731304,40.50380143859508,1.247032210757829,19.577719238480302,1.618323731895443,1.247032210757829,1.707859812068144,1.199208651273361
49,51,960201,2,49,51,960201,2,490519602012,1163,62.94,0.0,0.0,2.75,0.0,25.71,7.82,18.06,66.81,15.13,1,-111.40917718093348,40.503937473234565,0.5634440033107787,19.24366382715778,1.5695183471610972,0.5634440033107787,1.6898264290342349,1.2405476492993344
49,51,960201,3,49,51,960201,3,490519602013,1245,92.05,0.48,0.4,0.0,0.4,6.67,0.0,5.3,77.91,9.56,1,-111.40275520192608,40.49134959585852,1.421747403942441,20.74373085224596,0.3275135811969853,1.06827377511317,0.3494802645697948,0.0884914599521423
49,51,960202,1,49,51,960202,1,490519602021,622,69.94,0.0,0.0,8.04,0.0,21.22,12.22,14.47,69.61,15.92,1,-111.40907511275492,40.51087691592164,1.2171436789132477,18.54311786657688,2.3335320141167983,0.5446257716362578,2.451315422839155,1.9811405986958874
49,51,960202,2,49,51,960202,2,490519602022,1429,93.0,0.0,0.0,5.32,0.0,1.68,1.61,0.98,92.65,6.37,1,-111.40013847960616,40.511391190994345,1.6878605262013704,18.81961005650225,2.432650652365442,1.1382162514702865,2.530724572156394,2.022203185924179
49,51,960202,3,49,51,960202,3,490519602023,2712,83.44,0.0,0.0,0.92,0.0,14.16,5.9,3.69,90.27,6.05,1,-111.38825652416884,40.52707177609158,3.66814328445327,17.79595948912095,4.391968686280343,2.478625398557252,4.477372554750718,3.971128278942789
49,51,960203,1,49,51,960203,1,490519602031,1331,85.05,0.23,0.0,0.0,0.0,14.73,6.54,4.88,85.2,9.92,1,-111.33260562223082,40.48815327733922,7.044249142170397,24.0236741359735,6.227163587226581,6.933945733816661,6.165235836805941,6.00791694794292
49,51,960203,2,49,51,960203,2,490519602032,1462,99.25,0.0,0.0,0.0,0.0,0.75,1.03,0.0,92.82,7.18,1,-111.37619265251487,40.50021677576976,3.219795067968631,20.878738824465337,2.77997038258055,3.219795067968631,2.774397650429195,2.479232432191785
49,51,960203,3,49,51,960203,3,490519602033,1114,89.95,0.0,0.0,0.0,0.0,10.05,5.21,0.0,97.76,2.24,1,-111.36494486873792,40.47318440251288,5.170963585207381,23.964934000415305,3.9589885020874727,4.8473290721282405,3.854596050980721,3.8681965438256545
