State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers
53,63,12402,2,53,63,12402,2,530630124022,1252,78.35,4.15,0.0,1.04,0.0,4.71,8.55,3.67,83.87,12.46,1,-117.25514454724828,47.62401423235478,3.8232977676905135,4.897507467622306,5.403254587684244,2.453403374088768,4.882420568830996
53,63,12402,3,53,63,12402,3,530630124023,1806,92.58,0.22,0.0,1.38,0.0,2.38,16.89,1.66,83.11,15.23,1,-117.23694999319004,47.59722987748787,6.608380093987672,6.896166288188683,8.177419274339536,3.374928553315197,7.740427712212031
53,63,12402,4,53,63,12402,4,530630124024,1321,89.86,0.0,0.0,3.48,0.0,0.0,0.0,0.0,93.41,6.59,1,-117.23131411217535,47.62077161382939,4.030688030467968,4.275101992090168,5.56765821517954,0.8766561176776985,5.164187998366694
53,63,12500,1,53,63,12500,1,530630125001,922,88.07,0.0,0.0,3.15,0.0,7.92,12.26,0.0,91.87,8.13,1,-117.2708837429103,47.645749159055896,2.6744686807861013,4.140748052210857,3.843382745604064,1.2696727584313652,3.2646431805178215
53,63,12500,2,53,63,12500,2,530630125002,1431,69.18,0.91,0.63,0.28,7.76,16.91,15.51,15.86,55.14,18.24,1,-117.26678300045384,47.64947545952886,2.224818058550055,3.824844424138831,3.3321138328550264,0.7589846687797723,2.754262925763182
53,63,12500,3,53,63,12500,3,530630125003,1376,51.38,0.0,12.43,2.4,6.18,18.82,23.4,0.65,76.45,22.89,1,-117.2722294485194,47.65457607399632,2.4955885800092767,3.163552365037237,3.289102845213936,0.7505889260022641,2.7375652873874
53,63,12600,1,53,63,12600,1,530630126001,1980,86.92,0.66,0.0,0.45,0.71,1.92,11.36,6.62,80.91,12.47,1,-117.24522429424094,47.6497437853671,0.8957492532523614,2.6419335490415725,2.448859174244633,0.8721458291414044,1.9292904609929298
53,63,12600,2,53,63,12600,2,530630126002,2173,88.59,1.47,1.75,0.0,0.0,5.57,19.35,6.72,74.69,18.5,1,-117.25599298235852,47.64973531382298,1.4833276633190131,3.4204191534920465,2.798208756576149,0.8068461800300832,2.22417763536672
53,63,12701,1,53,63,12701,1,530630127011,1507,86.53,1.99,1.33,0.0,5.64,1.0,8.43,3.65,74.98,20.37,1,-117.22895851678317,47.65341886289084,0.836718991864322,1.35734433369799,1.9894379886247529,0.2751700465566708,1.720767465021814
53,63,12701,2,53,63,12701,2,530630127012,2228,78.82,1.21,0.0,1.39,0.27,15.57,6.63,8.89,70.6,20.51,1,-117.22900958114153,47.64610442095768,1.3925431874179763,1.770095641548208,2.78443409996609,1.0774993609149617,2.4569061023604055
53,63,12702,1,53,63,12702,1,530630127021,1479,88.3,0.68,0.47,0.0,0.0,6.22,9.05,1.49,78.77,19.74,1,-117.22671534151364,47.63945097301369,2.123373382610342,2.2422682005634664,3.543109532355587,1.5297863981586386,3.2115775920851863
53,63,12702,2,53,63,12702,2,530630127022,1433,78.23,0.0,1.05,1.26,0.0,14.86,1.33,14.1,68.74,17.17,1,-117.2226265271768,47.63263103238985,2.93996871213201,2.816804475729529,4.34801556398927,0.7391133784690633,4.028418392616098
