STATE,geometry
AZ,POINT (-109.543856808 31.348579586)
AZ,POINT (-110.303967188 31.561366902)
AZ,POINT (-110.29310623 31.539251978)
AZ,POINT (-111.649505161 35.201414818)
AZ,POINT (-111.613058424 35.223002668)
AZ,POINT (-110.452945879 33.3565570980001)
AZ,POINT (-110.576277625 33.3684372290001)
AZ,POINT (-111.328617293 34.2377413400001)
AZ,POINT (-112.116123435 33.530617439)
AZ,POINT (-111.914321504 33.4629709280001)
AZ,POINT (-112.141648647 33.6032728340001)
AZ,POINT (-112.151364469 33.5366394820001)
AZ,POINT (-112.180530208 33.546573224)
AZ,POINT (-112.09670172 33.4944048470001)
AZ,POINT (-111.997567087 33.4950152280001)
AZ,POINT (-111.998265043 33.516320039)
AZ,POINT (-112.116350077 33.5335759920001)
AZ,POINT (-112.179911991 33.5410822900001)
AZ,POINT (-112.000356632 33.5822711600001)
AZ,POINT (-112.006776729 33.583096933)
AZ,POINT (-111.950699939 33.6352357120001)
AZ,POINT (-111.870737434 33.6374051330001)
AZ,POINT (-112.59211469 33.3874980300001)
AZ,POINT (-111.889423686 33.4106004670001)
AZ,POINT (-112.054918412 33.554467979)
AZ,POINT (-111.761106573 33.4660029290001)
AZ,POINT (-111.941125511 33.626122584)
AZ,POINT (-112.229656215 33.6471569720001)
AZ,POINT (-112.215300354 33.6140175)
AZ,POINT (-111.97075226 33.47595211)
AZ,POINT (-112.007402519 33.30477978)
AZ,POINT (-111.868367376 33.350211647)
AZ,POINT (-111.915929439 33.6733835520001)
AZ,POINT (-112.151113885 33.5212836010001)
AZ,POINT (-112.091163111 33.401160706)
AZ,POINT (-111.875709086 33.5831897050001)
AZ,POINT (-112.12624165 33.539592987)
AZ,POINT (-111.959810244 33.750860679)
AZ,POINT (-111.975262705 33.3347860220001)
AZ,POINT (-111.882683523 33.569818975)
AZ,POINT (-111.691761969 33.467208708)
AZ,POINT (-111.98572782 33.3020736600001)
AZ,POINT (-112.358562979 33.487504404)
AZ,POINT (-111.992622455 33.375780621)
AZ,POINT (-111.926520868 33.5990712660001)
AZ,POINT (-112.042483519 33.458963827)
AZ,POINT (-111.995591536 33.6292914040001)
AZ,POINT (-111.96597382 33.747070249)
AZ,POINT (-111.997991911 33.634056672)
AZ,POINT (-112.237028507 33.6198625150001)
AZ,POINT (-111.941178413 33.5811210960001)
AZ,POINT (-112.010039506 33.5042057540001)
AZ,POINT (-112.088239498 33.465564747)
AZ,POINT (-112.280626819 33.7240221870001)
AZ,POINT (-112.13305474 33.5798722870001)
AZ,POINT (-112.080346454 33.5239772680001)
AZ,POINT (-111.943175113 33.609980647)
AZ,POINT (-111.943322673 33.5888481850001)
AZ,POINT (-112.175859675 33.540192387)
AZ,POINT (-112.145758327 33.668681731)
AZ,POINT (-112.350312518 33.443434316)
AZ,POINT (-112.349118863 33.48839007)
AZ,POINT (-112.153137275 33.5305152760001)
AZ,POINT (-112.098524328 33.5628754260001)
AZ,POINT (-112.07427277 33.552208648)
AZ,POINT (-112.072788931 33.528418366)
AZ,POINT (-111.996940275 33.5175133760001)
AZ,POINT (-112.10406916 33.4517111230001)
AZ,POINT (-112.126913821 33.505154487)
AZ,POINT (-112.169721243 33.4856225780001)
AZ,POINT (-112.069002179 33.4753385920001)
AZ,POINT (-112.066599134 33.505186549)
AZ,POINT (-112.071368011 33.5060001150001)
AZ,POINT (-112.071298534 33.5050707190001)
AZ,POINT (-112.025581345 33.4753648880001)
AZ,POINT (-112.117295144 33.3909475300001)
AZ,POINT (-111.996216939 33.386216743)
AZ,POINT (-112.072602968 33.388135816)
AZ,POINT (-112.039772253 33.3787623320001)
AZ,POINT (-112.056284924 33.3069004480001)
AZ,POINT (-111.948620219 33.3931691060001)
